Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Bacillus halodurans C-125,0,0,NC_002570,NP_240881.1,DT-RSL1,DT-RSL1,0.032,22,1,59,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240882.1,DT-RSL1,DT-RSL1,0.00041,28.1,2,80,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240882.1,DT-RSL1,DT-RSL1,0.00041,28.1,92,152,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_241827.1,DT-SPP1,DT-SPP1,7.90E-25,96,14,234,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_241827.1,DT-V583,DT-V583,4.50E-35,128.5,3,123,0,0,0
Bacillus halodurans C-125,0,0,NC_002570,NP_244381.1,DT-RSL1,DT-RSL1,0.00000083,36.9,1,165,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244384.1,DT-SPP1,DT-SPP1,1.70E-40,147.3,12,248,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244384.1,DT-V583,DT-V583,1.90E-26,100.7,2,125,0,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266636.1,DT-SPP1,DT-SPP1,0,198.6,16,511,1,0,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266636.1,DT-V583,DT-V583,8.80E-18,72.7,5,127,0,0,0
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267206.1,DT-SPP1,DT-SPP1,0.000000049,40.9,28,248,0,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267543.1,DT-SPP1,DT-SPP1,0,198.9,16,511,1,0,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267543.1,DT-V583,DT-V583,8.10E-18,72.8,5,127,0,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268934.1,DT-SPP1,DT-SPP1,1.50E-19,78.7,18,237,1,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268934.1,DT-V583,DT-V583,0.000033,32.1,5,128,1,0,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268934.1,DT_Fam3,DT_Fam3,0.000021,32.4,3,192,0,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269177.1,DT-SPP1,DT-SPP1,4.50E-38,139.3,37,259,1,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269177.1,DT-V583,DT-V583,0,64.1,31,150,1,0,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269177.1,DT_Fam4,DT_Fam4,0.64,17.4,139,259,0,0,0
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269530.1,DT_Fam3,DT_Fam3,0.0011,26.7,4,230,0,0,0
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269575.1,DT-RSL1,DT-RSL1,5.9,14.5,64,139,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287330.1,DT_Fam4,DT_Fam4,3.9,14.8,6,110,0,0,0
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309614.1,DT_Fam4,DT_Fam4,3.9,14.8,6,110,0,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346708.1,DT-SPP1,DT-SPP1,4.20E-16,67.4,17,231,1,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346708.1,DT-V583,DT-V583,3.90E-31,115.8,4,126,1,0,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346708.1,DT_Fam3,DT_Fam3,0.00082,27.2,5,193,0,0,0
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348506.1,DT-SPP1,DT-SPP1,0.012,23.3,39,402,0,0,0
Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_371426.1,DT-SPP1,DT-SPP1,4.50E-41,149.2,19,315,0,0,0
Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372478.1,DT-SPP1,DT-SPP1,2.50E-37,136.9,15,494,0,0,0
Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375063.1,DT-SPP1,DT-SPP1,4.50E-37,136.1,15,494,0,1,1
Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390019.1,DT-SPP1,DT-SPP1,0.0000000012,46.2,51,252,1,0,1
Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390019.1,DT-V583,DT-V583,1.2,17.3,31,134,0,1,1
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438155.1,DT-SPP1,DT-SPP1,1.40E-19,78.8,18,237,1,1,1
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438155.1,DT-V583,DT-V583,0.000055,31.3,5,128,1,0,1
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438155.1,DT_Fam3,DT_Fam3,0.000021,32.4,3,192,0,0,0
Listeria phage A118,Listeria monocytogenes,pos,NC_003216,NP_463478.1,DT-SPP1,DT-SPP1,2.60E-37,136.9,21,272,0,0,0
Staphylococcus phage phiETA,Staphylococcus aureus,pos,NC_003288,NP_510948.1,DT-SPP1,DT-SPP1,2.60E-33,123.8,26,311,0,0,0
Listeria phage 2389,Listeria monocytogenes,pos,NC_003291,NP_510994.1,DT-SPP1,DT-SPP1,2.50E-22,87.8,22,235,0,1,1
Clostridium perfringens str. 13,0,0,NC_003366,NP_562047.1,DT-SPP1,DT-SPP1,0.00000000041,47.8,17,231,1,0,1
Clostridium perfringens str. 13,0,0,NC_003366,NP_562047.1,DT-V583,DT-V583,1.20E-18,75.4,4,127,0,0,0
Mycobacterium phage TM4,Mycobacterium avium,myc,NC_003387,NP_569754.1,DT-Che8,DT-Che8,1.90E-41,149.7,68,212,0,1,1
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_603789.1,DT_Fam5,DT_Fam5,7.4,14,8,46,1,0,1
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_603789.1,DT_Fam5,DT_Fam5,7.4,14,138,246,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606633.1,DT-SPP1,DT-SPP1,1.00E-34,128.4,34,256,1,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606633.1,DT-V583,DT-V583,0.0000025,35.7,27,147,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606633.1,DT_Fam4,DT_Fam4,0.58,17.6,125,256,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606937.1,DT-SPP1,DT-SPP1,1.70E-18,75.2,16,207,1,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606937.1,DT-V583,DT-V583,0.00014,30,4,125,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606937.1,DT_Fam3,DT_Fam3,0.000002,35.7,2,189,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607363.1,DT-SPP1,DT-SPP1,9.10E-40,144.9,37,259,1,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607363.1,DT-V583,DT-V583,0,65.2,29,150,1,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607363.1,DT_Fam4,DT_Fam4,0.12,19.8,3,56,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607363.1,DT_Fam4,DT_Fam4,0.12,19.8,138,259,0,0,0
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607535.1,DT_Fam3,DT_Fam3,0.0066,24.2,80,230,0,0,0
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607587.1,DT-RSL1,DT-RSL1,5.9,14.5,64,139,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607786.1,DT-SPP1,DT-SPP1,5.30E-20,80.1,18,237,1,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607786.1,DT-V583,DT-V583,0.00008,30.8,5,128,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607786.1,DT_Fam3,DT_Fam3,0.000037,31.6,3,192,0,1,1
Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612843.1,DT-SPP1,DT-SPP1,0.0000000056,44.1,17,232,1,0,1
Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612843.1,DT-V583,DT-V583,1.70E-34,126.7,4,129,0,1,1
Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_635420.1,DT-Che8,DT-Che8,1.2,17.6,24,84,1,0,1
Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_635420.1,DT-Che8,DT-Che8,1.2,17.6,78,142,0,1,1
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_644864.1,DT_Fam5,DT_Fam5,2.8,15.4,5,112,1,0,1
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_644864.1,DT_Fam5,DT_Fam5,2.8,15.4,129,201,0,0,0
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646206.1,DT-SPP1,DT-SPP1,2.00E-31,117.6,21,274,0,0,0
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646711.1,DT-SPP1,DT-SPP1,7.40E-33,122.3,15,496,0,1,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663685.1,DT-SPP1,DT-SPP1,0,60.6,38,250,1,0,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663685.1,DT-V583,DT-V583,2.20E-35,129.5,24,148,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664527.1,DT-SPP1,DT-SPP1,1.00E-34,128.4,34,256,1,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664527.1,DT-V583,DT-V583,0.0000025,35.7,27,147,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664527.1,DT_Fam4,DT_Fam4,0.58,17.6,125,256,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664735.1,DT-SPP1,DT-SPP1,9.30E-23,89.2,16,231,1,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664735.1,DT-V583,DT-V583,0.00047,28.3,4,125,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664735.1,DT_Fam3,DT_Fam3,0.0000014,36.2,2,188,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664907.1,DT_Fam3,DT_Fam3,0.0064,24.2,80,230,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664957.1,DT-RSL1,DT-RSL1,6,14.5,64,139,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665020.1,DT-SPP1,DT-SPP1,1.40E-19,78.8,18,237,1,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665020.1,DT-V583,DT-V583,0.000055,31.3,5,128,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665020.1,DT_Fam3,DT_Fam3,0.000021,32.4,3,192,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665116.1,DT-SPP1,DT-SPP1,0,206.9,14,494,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665116.1,DT-V583,DT-V583,8.10E-21,82.5,4,128,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665224.1,DT-SPP1,DT-SPP1,4.80E-23,90.1,18,280,0,1,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680495.1,DT-SPP1,DT-SPP1,0,206.3,19,591,1,0,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680495.1,DT-V583,DT-V583,5.40E-31,115.3,4,124,0,1,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687624.1,DT-SPP1,DT-SPP1,0,204.7,20,506,1,0,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687624.1,DT-V583,DT-V583,0.0000041,35,11,129,0,0,0
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_688833.1,DT_Fam3,DT_Fam3,0,439.8,1,240,0,1,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690690.1,DT-SPP1,DT-SPP1,6.80E-32,119.1,23,253,1,1,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690690.1,DT-V583,DT-V583,2.20E-37,136,13,137,1,0,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690690.1,DT-V583,DT-V583,2.20E-37,136,219,252,0,0,0
Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690771.1,DT-SPP1,DT-SPP1,2.80E-29,110.5,4,230,0,1,1
Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_691135.1,DT-SPP1,DT-SPP1,4.20E-27,103.4,39,260,1,0,1
Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_691135.1,DT-V583,DT-V583,0.00000000068,47.2,23,150,0,0,0
Lactococcus phage r1t,Lactococcus lactis,pos,NC_004302,NP_695071.1,DT-SPP1,DT-SPP1,0.0000011,36.5,26,296,0,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695119.1,DT-SPP1,DT-SPP1,0,201.3,14,512,1,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695119.1,DT-V583,DT-V583,0,54,4,70,1,0,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695119.1,DT-V583,DT-V583,0,54,75,143,0,0,0
Streptococcus mutans UA159,0,0,NC_004350,NP_721016.1,DT-RSL1,DT-RSL1,7,14.3,65,140,0,1,1
Streptococcus mutans UA159,0,0,NC_004350,NP_721794.1,DT-V583,DT-V583,0.51,18.5,28,94,1,0,1
Streptococcus mutans UA159,0,0,NC_004350,NP_721794.1,DT-V583,DT-V583,0.51,18.5,154,262,0,0,0
Corynebacterium efficiens YS-314,0,0,NC_004369,NP_737465.1,DT-Che8,DT-Che8,0.000022,32.9,22,149,0,0,0
Escherichia coli CFT073,0,0,NC_004431,NP_753406.1,DT_Fam4,DT_Fam4,3.4,15.1,6,110,0,0,0
Staphylococcus epidermidis ATCC 12228,0,0,NC_004461,NP_765403.1,DT-V583,DT-V583,1.5,17,4,84,0,0,0
Bradyrhizobium japonicum USDA 110,0,0,NC_004463,NP_768132.1,DT-V583,DT-V583,5.1,15.3,163,206,0,1,1
Clostridium tetani E88,0,0,NC_004557,NP_782156.1,DT-SPP1,DT-SPP1,0.000085,30.3,21,240,1,0,1
Clostridium tetani E88,0,0,NC_004557,NP_782156.1,DT_Fam3,DT_Fam3,0.048,21.4,1,204,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801707.1,DT-SPP1,DT-SPP1,4.80E-23,90.1,18,280,0,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801811.1,DT-SPP1,DT-SPP1,0,206.9,14,494,1,0,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801811.1,DT-V583,DT-V583,8.10E-21,82.5,4,128,0,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801907.1,DT-SPP1,DT-SPP1,1.40E-19,78.8,18,237,1,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801907.1,DT-V583,DT-V583,0.000055,31.3,5,128,1,0,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801907.1,DT_Fam3,DT_Fam3,0.000021,32.4,3,192,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801971.1,DT-RSL1,DT-RSL1,6,14.5,64,139,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802023.1,DT_Fam3,DT_Fam3,0.0064,24.2,80,230,0,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802186.1,DT-SPP1,DT-SPP1,8.00E-23,89.4,2,216,1,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802186.1,DT-V583,DT-V583,0.055,21.7,2,110,1,0,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802186.1,DT_Fam3,DT_Fam3,0.000011,33.2,1,174,0,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802391.1,DT-SPP1,DT-SPP1,1.00E-34,128.4,34,256,1,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802391.1,DT-V583,DT-V583,0.0000025,35.7,27,147,1,0,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802391.1,DT_Fam4,DT_Fam4,0.58,17.6,125,256,0,0,0
Staphylococcus phage 11,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004615,NP_803296.1,DT-SPP1,DT-SPP1,6.70E-42,151.9,19,315,0,0,0
Staphylococcus phage phi 12,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004616,NP_803347.1,DT-SPP1,DT-SPP1,2.00E-31,117.6,21,274,0,0,0
Staphylococcus phage phi13,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004617,NP_803397.1,DT-SPP1,DT-SPP1,1.30E-32,121.4,15,496,0,0,0
Streptomyces phage phiBT1,Streptomyces lividans,pos,NC_004664,NP_813703.1,DT-SPP1,DT-SPP1,0.051,21.2,42,288,0,1,1
Enterococcus faecalis V583,0,0,NC_004668,NP_814141.1,DT-SPP1,DT-SPP1,2.20E-28,107.6,21,287,1,0,1
Enterococcus faecalis V583,0,0,NC_004668,NP_814141.1,DT-V583,DT-V583,0.59,18.3,23,135,0,1,1
Enterococcus faecalis V583,0,0,NC_004668,NP_815012.1,DT-SPP1,DT-SPP1,3.50E-37,136.4,34,308,1,0,1
Enterococcus faecalis V583,0,0,NC_004668,NP_815012.1,DT-V583,DT-V583,0,65.4,21,147,0,0,0
Enterococcus faecalis V583,0,0,NC_004668,NP_815672.1,DT-SPP1,DT-SPP1,0.0000016,36,46,243,0,0,0
Enterococcus faecalis V583,0,0,NC_004668,NP_816435.1,DT_Fam3,DT_Fam3,0.24,19.1,14,224,0,0,0
Mycobacterium phage Che8,Mycobacterium,myc,NC_004680,NP_817353.1,DT-Che8,DT-Che8,1.80E-25,98,37,171,0,0,0
Mycobacterium phage Cjw1,Mycobacterium,myc,NC_004681,NP_817473.1,DT-Che8,DT-Che8,2.60E-29,110.4,23,156,0,0,0
Mycobacterium phage Bxz2,Mycobacterium,myc,NC_004682,NP_817616.1,DT-Che8,DT-Che8,1.00E-34,127.9,14,150,0,1,1
Mycobacterium phage Che9c,Mycobacterium,myc,NC_004683,NP_817693.1,DT-SPP1,DT-SPP1,0.15,19.7,59,418,1,0,1
Mycobacterium phage Che9c,Mycobacterium,myc,NC_004683,NP_817693.1,DT-Che8,DT-Che8,1.30E-27,104.9,35,172,0,1,1
Mycobacterium phage Corndog,Mycobacterium,myc,NC_004685,NP_817909.1,DT-SPP1,DT-SPP1,0.42,18.2,70,511,1,0,1
Mycobacterium phage Corndog,Mycobacterium,myc,NC_004685,NP_817909.1,DT-Che8,DT-Che8,7.60E-32,118.6,51,187,0,0,0
Mycobacterium phage Che9d,Mycobacterium,myc,NC_004686,NP_817991.1,DT-Che8,DT-Che8,3.50E-28,106.8,18,160,0,0,0
Mycobacterium phage Omega,Mycobacterium,myc,NC_004688,NP_818336.1,DT-Che8,DT-Che8,8.90E-33,121.6,35,171,0,1,1
Streptomyces avermitilis MA-4680,0,0,NC_003155,NP_826684.1,DT-SPP1,DT-SPP1,5.60E-21,83.4,53,309,1,0,1
Streptomyces avermitilis MA-4680,0,0,NC_003155,NP_826684.1,DT_Fam4,DT_Fam4,0.043,21.3,184,310,0,1,1
Bacillus cereus ATCC 14579,0,0,NC_004722,NP_832187.1,DT-SPP1,DT-SPP1,2.80E-30,113.8,14,411,1,0,1
Bacillus cereus ATCC 14579,0,0,NC_004722,NP_832187.1,DT-V583,DT-V583,2.70E-24,93.7,4,127,0,0,0
Bacillus cereus ATCC 14579,0,0,NC_004722,NP_832353.1,DT-SPP1,DT-SPP1,0.0000000085,43.4,18,227,0,0,0
Staphylococcus phage phiN315,Staphylococcus aureus subsp. aureus N315,pos,NC_004740,NP_835565.1,DT-SPP1,DT-SPP1,4.50E-37,136.1,15,494,0,1,1
Lactococcus phage P335 sensu lato,Lactococcus lactis,pos,NC_004746,NP_839935.1,DT-SPP1,DT-SPP1,0,224.3,16,524,1,0,1
Lactococcus phage P335 sensu lato,Lactococcus lactis,pos,NC_004746,NP_839935.1,DT-V583,DT-V583,1.90E-34,126.5,5,130,0,1,1
Bacillus anthracis str. Ames,0,0,NC_003997,NP_843017.1,DT-SPP1,DT-SPP1,5.70E-38,139,16,269,1,0,1
Bacillus anthracis str. Ames,0,0,NC_003997,NP_843017.1,DT-V583,DT-V583,0.000059,31.2,6,133,0,1,1
Bacillus anthracis str. Ames,0,0,NC_003997,NP_846318.1,DT-SPP1,DT-SPP1,0,211.8,14,493,1,0,1
Bacillus anthracis str. Ames,0,0,NC_003997,NP_846318.1,DT-V583,DT-V583,1.20E-36,133.6,4,127,0,0,0
Mycoplasma gallisepticum str. R(low),0,0,NC_004829,NP_852966.2,DT_Fam5,DT_Fam5,3.2,15.3,336,419,0,1,1
Streptococcus phage SM1,Streptococcus mitis SF100,pos,NC_004996,NP_862889.1,DT-SPP1,DT-SPP1,0.0024,25.6,34,230,1,0,1
Streptococcus phage SM1,Streptococcus mitis SF100,pos,NC_004996,NP_862889.1,DT_Fam3,DT_Fam3,0.24,19,1,229,0,1,1
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Glossina brevipalpis,0,NC_004344,NP_871097.1,DT-V583,DT-V583,6.2,15,5,51,1,1,1
