,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Burkholderia phage BcepNazgul,Burkholderia cepacia,neg,NC_005091,NP_918988.2,TC-ShewanellaB,TC-ShewanellaB,0.016,23.5,3,142,1,0,1,
,Burkholderia phage BcepNazgul,Burkholderia cepacia,neg,NC_005091,NP_918988.2,TC-ShewanellaB,TC-ShewanellaB,0.016,23.5,152,202,0,1,1,
,Streptococcus phage EJ-1,Streptococcus pneumoniae,pos,NC_005294,NP_945289.1,TC-JCL103,TC-JCL103,0.017,23.5,12,112,1,0,1,
,Streptococcus phage EJ-1,Streptococcus pneumoniae,pos,NC_005294,NP_945289.1,TC-JCL103,TC-JCL103,0.017,23.5,55,151,0,0,0,
,Staphylococcus phage 77,Staphylococcus aureus,pos,NC_005356,NP_958610.1,TC-ListeriaB025,TC-ListeriaB025,1.60E-29,110.8,1,134,0,0,0,
,Methylibium petroleiphilum PM1,0,0,NC_008825,YP_001022372.1,TC-ShewanellaB,TC-ShewanellaB,5,15.4,13,69,0,0,0,
,Lactococcus lactis subsp. cremoris MG1363,0,0,NC_009004,YP_001033661.1,TC-ListeriaB025,TC-ListeriaB025,5.6,15.2,18,94,0,0,0,
,Clostridium thermocellum ATCC 27405,0,0,NC_009012,YP_001038877.1,TC-JCL103,TC-JCL103,0.013,23.9,4,129,0,0,0,
,Streptococcus phage phi3396,Streptococcus dysgalactiae subsp. equisimili,pos,NC_009018,YP_001039927.1,TC-ListeriaB025,TC-ListeriaB025,4.20E-42,151.5,9,136,0,0,0,
,Shewanella baltica OS155,0,0,NC_009052,YP_001051939.1,TC-ShewanellaB,TC-ShewanellaB,0.00E+00,404.1,1,185,0,0,0,
,Clostridium phage phiC2,Clostridium difficile,pos,NC_009231,YP_001110729.1,TC-JCL103,TC-JCL103,5.3,15.5,7,136,0,1,1,
,Geobacillus thermodenitrificans NG80-2,0,0,NC_009328,YP_001126318.1,TC-ShewanellaB,TC-ShewanellaB,8.00E-01,18,7,118,1,0,1,
,Geobacillus thermodenitrificans NG80-2,0,0,NC_009328,YP_001126318.1,TC-ShewanellaB,TC-ShewanellaB,0.8,18,114,176,0,0,0,
,Staphylococcus aureus subsp. aureus JH9,0,0,NC_009487,YP_001246442.1,TC-ListeriaB025,TC-ListeriaB025,0,214.1,1,133,0,0,0,
,Staphylococcus aureus subsp. aureus JH9,0,0,NC_009487,YP_001247376.1,TC-ListeriaB025,TC-ListeriaB025,1.60E-29,110.8,1,134,0,1,1,
,Pseudomonas phage M6,Pseudomonas aeruginosa,neg,NC_007809,YP_001294538.1,U_TC_Fam5,U_TC_Fam5,0.00035,28.8,17,141,1,1,1,
,Pseudomonas phage M6,Pseudomonas aeruginosa,neg,NC_007809,YP_001294538.1,TC-T1,TC-T1,1.40E-19,78.5,2,138,1,1,1,
,Pseudomonas phage M6,Pseudomonas aeruginosa,neg,NC_007809,YP_001294538.1,TC-T1,TC-T1,1.40E-19,78.5,2,138,1,0,1,
,Pseudomonas phage M6,Pseudomonas aeruginosa,neg,NC_007809,YP_001294538.1,TC-HK97,TC-HK97,0.0002,30.1,6,140,0,0,0,
,Microbacterium phage Min1,Microbacterium nematophilum,pos,NC_009603,YP_001294805.1,TC-HK97,TC-HK97,8.1,15.7,13,92,0,0,0,
,Burkholderia phage BcepNY3,Burkholderia cenocepacia HI2424,neg,NC_009604,YP_001294843.1,TC-HK97,TC-HK97,3.5,16.9,11,87,0,1,1,
,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306686.1,TC-HK97,TC-HK97,0.0000037,36.1,8,139,1,0,1,
,Thermosipho melanesiensis BI429,0,0,NC_009616,YP_001306686.1,TC-phiC2,TC-phiC2,6.1,14.7,4,140,0,0,0,
,Clostridium beijerinckii NCIMB 8052,0,0,NC_009617,YP_001308774.1,TC-Adjutor,TC-Adjutor,0,236.3,1,134,0,1,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315508.1,TC-HK97,TC-HK97,2.30E-16,68.9,9,134,1,1,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315508.1,TC-T1,TC-T1,0.44,18.5,1,78,1,1,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315508.1,U_TC_Fam7,U_TC_Fam7,4.8,15.4,8,136,1,1,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315508.1,TC-T1,TC-T1,0.44,18.5,1,78,1,0,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001315508.1,U_TC_Fam7,U_TC_Fam7,4.8,15.4,8,136,0,0,0,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001316057.1,TC-HK97,TC-HK97,0,56.8,7,108,0,0,0,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001316228.1,TC-ListeriaB025,TC-ListeriaB025,0.00E+00,214.1,1,133,0,1,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001317169.1,TC-ListeriaB025,TC-ListeriaB025,1.60E-29,110.8,1,134,1,0,1,
,Staphylococcus aureus subsp. aureus JH1,0,0,NC_009632,YP_001317169.1,TC-HK97,TC-HK97,0.013,24.7,9,129,0,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001318310.1,TC-TPSY,TC-TPSY,0.0000026,35.5,34,79,1,0,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001318310.1,TC-TPSY,TC-TPSY,0.0000026,35.5,70,130,0,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001319782.1,TC-TPSY,TC-TPSY,0.0000026,35.5,34,79,1,0,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001319782.1,TC-TPSY,TC-TPSY,0.0000026,35.5,70,130,0,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320231.1,TC-JCL103,TC-JCL103,0.00049,28.5,5,141,1,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320231.1,TC-HK97,TC-HK97,0.019,24.1,10,129,1,0,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320231.1,TC-Che12,TC-Che12,3.6,16.3,35,120,0,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320382.1,TC-Adjutor,TC-Adjutor,0,217.3,1,135,1,0,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001320382.1,TC-HK97,TC-HK97,6.2,16,13,127,0,0,0,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001321765.1,TC-HK97,TC-HK97,0,53.2,10,130,0,1,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001322091.1,TC-TPSY,TC-TPSY,0.0000026,35.5,34,79,1,0,1,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001322091.1,TC-TPSY,TC-TPSY,0.0000026,35.5,70,130,0,0,0,
,Alkaliphilus metalliredigens QYMF,0,0,NC_009633,YP_001322407.1,TC-phiC2,TC-phiC2,4.5,15.1,27,112,0,0,0,
,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327011.1,TC-HK97,TC-HK97,2.30E-18,75.3,9,142,0,0,0,
,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327334.1,TC-Lam,TC-Lam,0,219.1,1,248,0,1,1,
,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327555.1,TC-HK97,TC-HK97,2.90E-38,140.1,6,148,1,1,1,
,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327555.1,TC-T1,TC-T1,0.00037,28.5,1,144,1,0,1,
,Sinorhizobium medicae WSM419,0,0,NC_009636,YP_001327555.1,TC-T1,TC-T1,0.00037,28.5,1,144,0,0,0,
,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001331331.1,TC-HK97,TC-HK97,2.00E-16,69.1,21,146,0,0,0,
,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332057.1,TC-HK97,TC-HK97,0,56.8,8,109,0,0,0,
,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332819.1,TC-HK97,TC-HK97,0,56.8,8,109,0,1,1,
,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332926.1,TC-ListeriaB025,TC-ListeriaB025,7.50E-32,118.3,1,134,1,0,1,
,Staphylococcus aureus subsp. aureus str. Newman,0,0,NC_009641,YP_001332926.1,TC-HK97,TC-HK97,0.0005,29.2,9,130,0,1,1,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001335085.1,U_TC_Fam5,U_TC_Fam5,3.19E-43,156.2,10,183,1,1,1,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001335085.1,TC-T1,TC-T1,1.30E-33,123.9,1,183,1,1,1,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001335085.1,TC-T1,TC-T1,1.30E-33,123.9,1,183,1,0,1,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001335085.1,TC-Phi297,TC-Phi297,0.000000035,41.8,15,178,0,0,0,
,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,0,0,NC_009648,YP_001337116.1,TC-Mu,TC-Mu,2.30E-39,142.9,2,148,0,1,1,
,Marinomonas sp. MWYL1,0,0,NC_009654,YP_001339451.1,TC-Mu,TC-Mu,0.0000085,34.1,10,136,1,0,1,
,Marinomonas sp. MWYL1,0,0,NC_009654,YP_001339451.1,TC-Mu,TC-Mu,0.0000085,34.1,168,216,0,0,0,
,Actinobacillus succinogenes 130Z,0,0,NC_009655,YP_001344538.1,TC-HK97,TC-HK97,4.30E-23,90.5,12,144,0,0,0,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001346093.1,TC-Mu,TC-Mu,0.000038,32,12,141,0,1,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,U_TC_Fam5,U_TC_Fam5,1.70E-29,111.3,13,223,1,1,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,TC-T1,TC-T1,5.40E-36,131.7,6,224,1,1,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,TC-T1,TC-T1,5.40E-36,131.7,6,224,1,1,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,TC-Phi297,TC-Phi297,0.21,19.8,15,214,1,1,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,TC-HK97,TC-HK97,0.0031,26.2,2,128,1,0,1,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001347779.1,TC-HK97,TC-HK97,0.0031,26.2,96,220,0,0,0,
,Pseudomonas aeruginosa PA7,0,0,NC_009656,YP_001350394.1,TC-Mu,TC-Mu,0.0021,26.3,12,141,0,1,1,
,Janthinobacterium sp. Marseille,0,0,NC_009659,YP_001354408.1,TC-TPSY,TC-TPSY,0.0000055,34.4,10,213,1,0,1,
,Janthinobacterium sp. Marseille,0,0,NC_009659,YP_001354408.1,TC-Lam,TC-Lam,0.0012,26.9,1,213,0,1,1,
,Janthinobacterium sp. Marseille,0,0,NC_009659,YP_001354468.1,TC-TPSY,TC-TPSY,0.0000015,36.3,8,212,1,0,1,
,Janthinobacterium sp. Marseille,0,0,NC_009659,YP_001354468.1,TC-Lam,TC-Lam,0.017,23,1,213,0,1,1,
,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001355940.1,TC-HK97,TC-HK97,0.02,24,8,148,1,0,1,
,Nitratiruptor sp. SB155-2,0,0,NC_009662,YP_001355940.1,TC-Adjutor,TC-Adjutor,0.0013,27,27,155,0,0,0,
,Kineococcus radiotolerans SRS30216,0,0,NC_009664,YP_001361466.1,TC-HK97,TC-HK97,4.8,16.4,11,110,0,0,0,
,Shewanella baltica OS185,0,0,NC_009665,YP_001364979.1,TC-ShewanellaB,TC-ShewanellaB,0,404.6,1,185,0,0,0,
,Shewanella baltica OS185,0,0,NC_009665,YP_001366296.1,TC-Mu,TC-Mu,1.70E-21,85,9,150,0,1,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001375819.1,TC-HK97,TC-HK97,0,61.7,11,130,1,0,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001375819.1,TC-ListeriaB025,TC-ListeriaB025,7,14.9,3,142,0,1,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376016.1,TC-JCL103,TC-JCL103,1.5,17.2,6,81,1,0,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376016.1,TC-JCL103,TC-JCL103,1.5,17.2,180,290,0,1,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376037.1,TC-ShewanellaB,TC-ShewanellaB,2.5,16.3,6,145,1,0,1,
,Bacillus cytotoxicus NVH 391-98,0,0,NC_009674,YP_001376037.1,TC-ShewanellaB,TC-ShewanellaB,2.50E+00,16.3,167,206,0,1,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001384746.1,TC-HK97,TC-HK97,1.60E-17,72.6,7,112,1,0,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001384746.1,TC-ListeriaB025,TC-ListeriaB025,0.34,19.1,1,122,0,1,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385263.1,TC-HK97,TC-HK97,2.30E-17,72.1,7,112,1,1,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385263.1,TC-ListeriaB025,TC-ListeriaB025,0.35,19.1,1,122,1,0,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385263.1,TC-JCL103,TC-JCL103,4,15.9,1,123,0,1,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385357.1,TC-Adjutor,TC-Adjutor,0.00023,29.3,11,88,1,0,1,
,Clostridium botulinum A str. ATCC 19397,0,0,NC_009697,YP_001385357.1,TC-Adjutor,TC-Adjutor,0.00023,29.3,82,115,0,1,1,
,Clostridium botulinum A str. Hall,0,0,NC_009698,YP_001388765.1,TC-Adjutor,TC-Adjutor,0.00023,29.3,11,88,1,0,1,
,Clostridium botulinum A str. Hall,0,0,NC_009698,YP_001388765.1,TC-Adjutor,TC-Adjutor,0.00023,29.3,82,115,0,0,0,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391152.1,TC-HK97,TC-HK97,0.000016,34,11,117,0,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-HK97,TC-HK97,0.0044,26.2,13,151,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-phiC2,TC-phiC2,0.065,21.1,4,42,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-phiC2,TC-phiC2,0.065,21.1,76,133,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-phiC2,TC-phiC2,0.065,21.1,131,161,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-T1,TC-T1,0.62,18,1,143,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-T1,TC-T1,0.62,18,1,143,1,0,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001391653.1,TC-Che12,TC-Che12,1.3,17.6,24,135,0,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392313.1,TC-Adjutor,TC-Adjutor,0.0000073,34.2,11,89,1,0,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392313.1,TC-Adjutor,TC-Adjutor,0.0000073,34.2,86,115,0,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392476.1,TC-HK97,TC-HK97,3.10E-19,78.1,10,115,1,1,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392476.1,TC-ListeriaB025,TC-ListeriaB025,0.29,19.3,2,125,1,0,1,
,Clostridium botulinum F str. Langeland,0,0,NC_009699,YP_001392476.1,TC-JCL103,TC-JCL103,2.8,16.4,1,126,0,0,0,
,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001393557.1,TC-HK97,TC-HK97,8,15.1,33,134,0,0,0,
,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395249.1,TC-Adjutor,TC-Adjutor,0,244.5,1,136,0,0,0,
,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001395340.1,TC-Adjutor,TC-Adjutor,0,245.4,8,144,0,0,0,
,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396019.1,TC-HK97,TC-HK97,0.000000001,47.5,10,130,0,0,0,
,Clostridium kluyveri DSM 555,0,0,NC_009706,YP_001396640.1,TC-Adjutor,TC-Adjutor,3.40E-25,96.8,1,141,0,1,1,
,Campylobacter hominis ATCC BAA-381,0,0,NC_009714,YP_001405868.1,TC-Mu,TC-Mu,0.0000086,34,6,128,1,0,1,
,Campylobacter hominis ATCC BAA-381,0,0,NC_009714,YP_001405868.1,TC-Mu,TC-Mu,0.0000086,34,90,170,0,0,0,
,Campylobacter hominis ATCC BAA-381,0,0,NC_009714,YP_001406136.1,TC-JCL103,TC-JCL103,6,15.3,139,212,0,0,0,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418521.1,TC-HK97,TC-HK97,0.29,20.3,3,90,0,1,1,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418590.1,TC-HK97,TC-HK97,0.04,23.1,6,145,1,1,1,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418590.1,TC-T1,TC-T1,0.000000099,40.1,1,152,1,1,1,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418590.1,TC-T1,TC-T1,0.000000099,40.1,1,152,1,0,1,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001418590.1,TC-HK97,TC-HK97,3.50E-19,78,2,158,0,0,0,
,Xanthobacter autotrophicus Py2,0,0,NC_009720,YP_001419378.1,TC-Mu,TC-Mu,0,58.2,12,165,0,0,0,
,Staphylococcus phage tp310-2,Staphylococcus aureus,pos,NC_009762,YP_001429946.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,1,1,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437137.1,TC-HK97,TC-HK97,3.20E-22,87.7,12,133,1,0,1,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437137.1,TC-HK97,TC-HK97,2.1,17,4,107,0,0,0,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437731.1,TC-Sfv,TC-Sfv,0,214.1,6,170,0,0,0,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001437748.1,TC-Mu,TC-Mu,6,15.1,459,513,0,1,1,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439107.1,TC-Phi297,TC-Phi297,3.70E-43,155.3,1,122,1,1,1,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439107.1,U_TC_Fam7,U_TC_Fam7,0,199.7,1,122,1,0,1,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439107.1,U_TC_Fam7,U_TC_Fam7,0,199.7,1,122,0,0,0,
,Cronobacter sakazakii ATCC BAA-894,0,0,NC_009778,YP_001439888.1,U_TC_Fam5,U_TC_Fam5,3.1,15.9,1,86,0,0,0,
,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001441481.1,TC-HK97,TC-HK97,0,56.9,7,108,0,1,1,
,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442535.1,TC-ListeriaB025,TC-ListeriaB025,3.90E-31,116,1,134,1,0,1,
,Staphylococcus aureus subsp. aureus Mu3,0,0,NC_009782,YP_001442535.1,TC-HK97,TC-HK97,0.00067,28.8,9,130,0,1,1,
,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449299.1,TC-HK97,TC-HK97,2.80E-18,75,12,132,1,0,1,
,Enterobacteria phage BP-4795,Escherichia coli,neg,NC_004813,YP_001449299.1,TC-HK97,TC-HK97,1.3,17.8,6,110,0,1,1,
,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453421.1,U_TC_Fam5,U_TC_Fam5,2.60E-40,146.6,6,183,1,1,1,
,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453421.1,TC-T1,TC-T1,1.70E-35,130.1,1,183,1,1,1,
,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453421.1,TC-T1,TC-T1,1.70E-35,130.1,1,183,1,0,1,
,Citrobacter koseri ATCC BAA-895,0,0,NC_009792,YP_001453421.1,TC-Phi297,TC-Phi297,0.0000014,36.6,10,179,0,0,0,
,Escherichia coli HS,0,0,NC_009800,YP_001457672.1,TC-Mu,TC-Mu,5.40E-32,119,2,147,0,0,0,
,Escherichia coli HS,0,0,NC_009800,YP_001458781.1,TC-Lam,TC-Lam,6.60E-25,96.4,2,174,0,1,1,
,Escherichia coli E24377A,0,0,NC_009801,YP_001463288.1,TC-BCereusAH820,TC-BCereusAH820,0.16,20.1,1,85,1,1,1,
,Escherichia coli E24377A,0,0,NC_009801,YP_001463288.1,TC-BCereusAH820,TC-BCereusAH820,0.16,20.1,118,185,1,1,1,
,Escherichia coli E24377A,0,0,NC_009801,YP_001463288.1,TC-BCereusAH820,TC-BCereusAH820,0.16,20.1,1,85,1,0,1,
,Escherichia coli E24377A,0,0,NC_009801,YP_001463288.1,TC-BCereusAH820,TC-BCereusAH820,0.16,20.1,118,185,0,0,0,
,Listeria phage A500,Listeria monocytogenes,pos,NC_009810,YP_001468396.1,TC-BCJA1C,TC-BCJA1C,0,61.9,1,109,0,0,0,
,Listeria phage B025,Listeria monocytogenes,pos,NC_009812,YP_001468648.1,TC-ListeriaB025,TC-ListeriaB025,0,195.1,1,133,0,1,1,
,Listeria phage B054,Listeria monocytogenes,pos,NC_009813,YP_001468715.1,TC-TPSY,TC-TPSY,0.04,21.8,35,79,1,0,1,
,Listeria phage B054,Listeria monocytogenes,pos,NC_009813,YP_001468715.1,TC-TPSY,TC-TPSY,0.04,21.8,79,132,0,0,0,
,Listeria phage P35,Listeria monocytogenes,pos,NC_009814,YP_001468793.1,TC-HK97,TC-HK97,0.18,21,5,130,0,0,0,
,Pseudomonas phage MP22,Pseudomonas aeruginosa UCBPP-PA14,neg,NC_009818,YP_001469157.1,TC-Mu,TC-Mu,0,57.8,9,152,0,1,1,
,Streptococcus phage P9,Streptococcus equi,pos,NC_009819,YP_001469215.1,TC-HK97,TC-HK97,0,57.1,10,105,1,0,1,
,Streptococcus phage P9,Streptococcus equi,pos,NC_009819,YP_001469215.1,TC-Che12,TC-Che12,1.4,17.6,7,80,0,1,1,
