,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,75
,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056685.1,TR-SPP1,TR-SPP1,0.0000000003,48.7,7,123,0,0,0,
,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058450.1,TR-ListeriaB025,TR-ListeriaB025,0.0000094,34,1,118,0,1,1,
,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061511.1,TR-SPP1,TR-SPP1,6.00E-20,80,4,115,1,0,1,
,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061511.1,TR-Che8,TR-Che8,0.1,21.1,32,116,0,1,1,
,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061637.1,TR-SPP1,TR-SPP1,2.4,16.8,5,113,1,1,1,
,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061637.1,TR-ListeriaB025,TR-ListeriaB025,0.0000017,36.4,1,117,1,0,1,
,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061637.1,TR-FL3A,TR-FL3A,3.6,16.1,1,119,0,0,0,
,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075285.1,TR-Che8,TR-Che8,0.00013,30.5,22,146,0,1,1,
,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075508.1,TR-SPP1,TR-SPP1,0.0012,27.4,7,118,1,0,1,
,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075508.1,TR-ListeriaB025,TR-ListeriaB025,5.50E-24,92.9,1,128,0,0,0,
,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076621.1,TR-Bmccartyi,TR-Bmccartyi,0.00000023,39.3,1,105,0,0,0,
,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076683.1,TR-Sfi21,TR-Sfi21,1.26E-44,159.6,2,125,0,0,0,
,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076742.1,TR-Sfi21,TR-Sfi21,7.50E-42,150.7,1,125,0,0,0,
,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108204.1,TR-T1,TR-T1,2.20E-37,136,7,133,0,0,0,
,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108608.1,TR-T1,TR-T1,2.1,16.5,5,104,0,0,0,
,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108721.1,TR-SPP1,TR-SPP1,0,50.5,8,126,0,0,0,
,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112704.1,TR-SPP1,TR-SPP1,0,50.3,8,126,0,0,0,
,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116503.1,TR-Sfi21,TR-Sfi21,3.64E-44,158.2,2,125,0,0,0,
,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150171.1,TR-BCJA1C,TR-BCJA1C,7.20E-42,150.7,1,135,0,1,1,
,Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215023.1,TR-meningitidis,TR-meningitidis,2.9,16.2,38,92,1,0,1,
,Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215023.1,TR-meningitidis,TR-meningitidis,2.9,16.2,286,395,0,1,1,
,Bacillus halodurans C-125,0,0,NC_002570,NP_244389.1,TR-SPP1,TR-SPP1,6.6,15.3,14,124,1,0,1,
,Bacillus halodurans C-125,0,0,NC_002570,NP_244389.1,TR-MGAS315,TR-MGAS315,0,223.1,19,136,0,0,0,
,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249601.1,TR-Bcep1,TR-Bcep1,0,53.8,42,144,0,0,0,
,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266632.1,TR-Sfi21,TR-Sfi21,7.50E-42,150.7,1,125,0,0,0,
,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267201.1,TR-Bmccartyi,TR-Bmccartyi,0.00000023,39.3,1,105,0,0,0,
,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267547.1,TR-Sfi21,TR-Sfi21,1.26E-44,159.6,2,125,0,0,0,
,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268929.1,TR-BCJA1C,TR-BCJA1C,1.21E-43,156.5,1,132,0,0,0,
,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269172.1,TR-SPP1,TR-SPP1,0.00000058,38.1,11,126,0,0,0,
,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269535.1,TR-Che8,TR-Che8,0.0033,26,1,110,0,1,1,
,Neisseria meningitidis MC58,0,0,NC_003112,NP_274133.1,TR-Mu,TR-Mu,1.00E-29,112,1,185,1,0,1,
,Neisseria meningitidis MC58,0,0,NC_003112,NP_274133.1,TR-DMS3,TR-DMS3,5.1,16,2,102,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286519.1,TR-Lam,TR-Lam,0,227.1,1,133,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286891.1,TR-SPP1,TR-SPP1,0,50.9,4,110,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287298.1,TR-SPP1,TR-SPP1,0,55.2,4,110,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287377.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287386.1,TR-SPP1,TR-SPP1,0,55.2,4,110,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287975.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288450.1,TR-Lam,TR-Lam,0,213,1,132,0,0,0,
,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288655.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298871.1,TR-Bcep1,TR-Bcep1,5.30E-17,70.3,22,122,0,0,0,
,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298976.1,TR-Bcep1,TR-Bcep1,5.30E-17,70.3,22,122,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308860.1,TR-Lam,TR-Lam,0,227.1,1,133,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309575.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309666.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309826.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310006.1,TR-SPP1,TR-SPP1,0,55.2,4,110,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310197.1,TR-Lam,TR-Lam,0,212.6,1,131,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310271.1,TR-SPP1,TR-SPP1,0,55.4,4,110,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310980.1,TR-Lam,TR-Lam,0,213,1,132,0,0,0,
,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_313004.1,TR-Mu,TR-Mu,1.20E-42,154.2,1,182,0,1,1,
,Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_334939.2,TR-meningitidis,TR-meningitidis,2.9,16.2,38,92,1,0,1,
,Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_334939.2,TR-meningitidis,TR-meningitidis,2.9,16.2,286,395,0,0,0,
,Streptococcus pneumoniae TIGR4,0,0,NC_003028,NP_345475.1,TR-meningitidis,TR-meningitidis,9.4,14.6,12,94,0,0,0,
,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346702.1,TR-SPP1,TR-SPP1,4.9,15.7,3,121,0,1,1,
,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348511.1,TR-SPP1,TR-SPP1,0.39,19.3,2,100,1,0,1,
,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348511.1,TR-Bmccartyi,TR-Bmccartyi,0.0036,25.8,1,106,0,0,0,
,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_370659.1,TR-T4,TR-T4,0.15,20.1,111,201,0,0,0,
,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372482.1,TR-ListeriaB025,TR-ListeriaB025,0,186.6,1,135,0,0,0,
,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_373372.1,TR-T4,TR-T4,0.15,20.1,111,201,0,0,0,
,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375067.1,TR-ListeriaB025,TR-ListeriaB025,0,186.6,1,135,0,1,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_388321.1,TR-phi297,TR-phi297,0.91,17.9,13,59,1,1,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_388321.1,TR-phi297,TR-phi297,0.91,17.9,34,72,1,1,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_388321.1,TR-phi297,TR-phi297,0.91,17.9,52,97,1,0,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_388321.1,TR-phi297,TR-phi297,0.91,17.9,93,123,0,0,0,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_389146.1,TR-CD38,TR-CD38,6.3,15.1,7,146,0,0,0,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390486.2,TR-CD38,TR-CD38,0.0088,24.4,2,145,0,0,0,
,Caulobacter crescentus CB15,0,0,NC_002696,NP_421578.1,TR-SPP1,TR-SPP1,0,61.9,112,232,0,0,0,
,Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438150.1,TR-BCJA1C,TR-BCJA1C,1.21E-43,156.5,1,132,0,1,1,
,Haemophilus influenzae Rd KW20,0,0,NC_000907,NP_439659.2,TR-Mu,TR-Mu,0,193.8,3,179,1,0,1,
,Haemophilus influenzae Rd KW20,0,0,NC_000907,NP_439659.2,TR-DMS3,TR-DMS3,1.6,17.6,5,99,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_459892.1,TR-Lam,TR-Lam,0,222.2,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460012.1,TR-Lam,TR-Lam,0,218,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461534.1,TR-Lam,TR-Lam,0,222.1,1,133,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461640.1,TR-P2,TR-P2,2.20E-36,133.1,1,131,0,0,0,
,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_463080.1,TR-BcepMu,TR-BcepMu,0,167.5,10,151,0,0,0,
,Listeria phage A118,Listeria monocytogenes,pos,NC_003216,NP_463472.1,TR-BCJA1C,TR-BCJA1C,6.40E-29,108.8,1,135,0,0,0,
,Pseudomonas phage phiCTX,Pseudomonas aeruginosa,neg,NC_003278,NP_490612.1,TR-P2,TR-P2,1.80E-36,133.4,1,132,0,0,0,
,Staphylococcus phage phiETA,Staphylococcus aureus,pos,NC_003288,NP_510943.1,TR-SPP1,TR-SPP1,0,64.6,12,127,0,0,0,
,Listeria phage 2389,Listeria monocytogenes,pos,NC_003291,NP_510989.1,TR-Cereus,TR-Cereus,3.10E-27,103.3,3,136,0,1,1,
,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_519809.1,TR-SPP1,TR-SPP1,0,52.9,4,113,1,0,1,
,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_519809.1,TR-Che8,TR-Che8,0.0002,29.9,4,100,0,0,0,
,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_520050.1,TR-P2,TR-P2,6.80E-42,150.9,1,131,0,1,1,
,Burkholderia phage phiE125,Burkholderia thailandensis,neg,NC_003309,NP_536367.1,TR-SPP1,TR-SPP1,0.000000027,42.4,4,111,1,0,1,
,Burkholderia phage phiE125,Burkholderia thailandensis,neg,NC_003309,NP_536367.1,TR-Che8,TR-Che8,0,52.9,1,115,0,0,0,
,Vibrio phage K139,Vibrio cholerae O139,neg,NC_003313,NP_536653.1,TR-P2,TR-P2,2.30E-33,123.3,1,141,0,0,0,
,Haemophilus phage HP2,Haemophilus influenzae,neg,NC_003315,NP_536826.1,TR-P2,TR-P2,2.00E-35,129.9,1,140,0,0,0,
,Enterobacteria phage phiP27,Escherichia coli,neg,NC_003356,NP_543095.1,TR-DMS3,TR-DMS3,5.70E-30,112.7,1,118,0,1,1,
,Clostridium perfringens str. 13,0,0,NC_003366,NP_562042.1,TR-SPP1,TR-SPP1,2.3,16.8,6,110,1,0,1,
,Clostridium perfringens str. 13,0,0,NC_003366,NP_562042.1,TR-ListeriaB025,TR-ListeriaB025,0.0000098,33.9,18,114,0,0,0,
,Mycobacterium phage TM4,Mycobacterium avium,myc,NC_003387,NP_569749.1,TR-Che8,TR-Che8,0.45,19.1,13,132,0,1,1,
,Enterobacteria phage SfV,Shigella flexneri,neg,NC_003444,NP_599041.1,TR-Mu,TR-Mu,8.5,14.4,28,114,1,0,1,
,Enterobacteria phage SfV,Shigella flexneri,neg,NC_003444,NP_599041.1,TR-DMS3,TR-DMS3,4.20E-27,103.4,1,118,0,0,0,
,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_603015.1,TR-ListeriaB025,TR-ListeriaB025,0.32,19.3,16,119,0,0,0,
,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_603293.1,TR-Adjutor,TR-Adjutor,6.2,14.6,17,128,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606629.1,TR-ListeriaB025,TR-ListeriaB025,1.60E-38,140,2,126,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606932.1,TR-ListeriaB025,TR-ListeriaB025,0.0016,26.8,2,141,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607369.1,TR-SPP1,TR-SPP1,0.000000063,41.2,11,126,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607543.1,TR-Che8,TR-Che8,0.0018,26.9,1,110,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607791.1,TR-BCJA1C,TR-BCJA1C,1.09E-43,156.6,1,132,0,1,1,
,Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612839.1,TR-SPP1,TR-SPP1,0.0034,25.9,19,109,1,1,1,
,Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612839.1,TR-Bmccartyi,TR-Bmccartyi,7.3,15.1,5,113,1,0,1,
,Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612839.1,TR-ListeriaB025,TR-ListeriaB025,0.00081,27.7,27,113,0,0,0,
,Streptomyces coelicolor A3(2),0,0,NC_003888,NP_625956.1,TR-Giles,TR-Giles,4.1,15.7,183,280,0,0,0,
,Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_638328.1,TR-P2,TR-P2,8.00E-36,131.3,1,131,0,0,0,
,Xanthomonas axonopodis pv. citri str. 306,0,0,NC_003919,NP_642963.1,TR-P2,TR-P2,8.30E-37,134.5,1,131,0,0,0,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_644924.1,TR-T4,TR-T4,0.14,20.2,115,201,0,1,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646211.1,TR-SPP1,TR-SPP1,0.0012,27.4,7,118,1,0,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646211.1,TR-ListeriaB025,TR-ListeriaB025,5.50E-24,92.9,1,128,0,1,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646716.1,TR-SPP1,TR-SPP1,8.3,15,5,113,1,1,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646716.1,TR-Sfi21,TR-Sfi21,9.3,14.7,2,100,1,1,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646716.1,TR-ListeriaB025,TR-ListeriaB025,0.0000011,37,1,118,1,0,1,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646716.1,TR-FL3A,TR-FL3A,2.6,16.5,1,119,0,0,0,
,Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663680.1,TR-SPP1,TR-SPP1,0.000000006,44.5,8,126,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664522.1,TR-ListeriaB025,TR-ListeriaB025,1.60E-38,140,2,126,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664740.1,TR-ListeriaB025,TR-ListeriaB025,0.000051,31.6,1,141,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664912.1,TR-Che8,TR-Che8,0.0033,26,1,110,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665025.1,TR-BCJA1C,TR-BCJA1C,1.21E-43,156.5,1,132,0,1,1,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665121.1,TR-SPP1,TR-SPP1,0.16,20.6,10,130,1,0,1,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665121.1,TR-MGAS315,TR-MGAS315,9.40E-23,88.7,19,136,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665229.1,TR-SPP1,TR-SPP1,9.9,14.8,9,114,0,0,0,
,Yersinia pestis KIM10+,0,0,NC_004088,NP_668519.1,TR-T4,TR-T4,5.6,15,19,68,0,0,0,
,Yersinia pestis KIM10+,0,0,NC_004088,NP_669510.1,TR-T1,TR-T1,5.90E-37,134.6,5,130,0,0,0,
,Yersinia pestis KIM10+,0,0,NC_004088,NP_671132.1,TR-meningitidis,TR-meningitidis,3.7,15.9,36,115,0,0,0,
,Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680491.1,TR-ListeriaB025,TR-ListeriaB025,5.10E-26,99.5,1,114,0,0,0,
,Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687619.1,TR-Che8,TR-Che8,0.0033,26,1,110,0,1,1,
,Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690679.1,TR-SPP1,TR-SPP1,0,65.7,10,129,1,0,1,
,Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690679.1,TR-Che8,TR-Che8,0.68,18.5,12,121,0,1,1,
,Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690766.1,TR-SPP1,TR-SPP1,0.0000025,36.1,44,155,1,1,1,
,Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690766.1,TR-ListeriaB025,TR-ListeriaB025,0.000001,37.1,68,162,1,0,1,
,Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690766.1,TR-FL3A,TR-FL3A,0.058,21.8,41,151,0,0,0,
,Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_692056.1,TR-PY54,TR-PY54,5.6,15.5,131,237,0,0,0,
,Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695114.1,TR-SPP1,TR-SPP1,0.0000000042,45,7,123,0,0,0,
,Lactobacillus phage phig1e,Lactobacillus,pos,NC_004305,NP_695162.1,TR-BCJA1C,TR-BCJA1C,2.60E-42,152.2,1,134,0,0,0,
,Bifidobacterium longum NCC2705,0,0,NC_004307,NP_695352.1,TR-Che8,TR-Che8,9.1,14.8,18,81,0,0,0,
,Burkholderia phage Bcep781,Burkholderia cepacia,neg,NC_004333,NP_705632.2,TR-Bcep1,TR-Bcep1,1.30E-27,104.4,49,152,0,0,0,
,Shewanella oneidensis MR-1,0,0,NC_004347,NP_716311.1,TR-DMS3,TR-DMS3,8.30E-18,73.4,8,122,0,1,1,
,Shewanella oneidensis MR-1,0,0,NC_004347,NP_718275.1,TR-Mu,TR-Mu,3.3,15.8,2,56,1,0,1,
,Shewanella oneidensis MR-1,0,0,NC_004347,NP_718275.1,TR-Mu,TR-Mu,3.3,15.8,122,191,0,0,0,
,Shewanella oneidensis MR-1,0,0,NC_004347,NP_718526.1,TR-SPP1,TR-SPP1,2.40E-17,71.7,5,116,0,0,0,
,Streptococcus mutans UA159,0,0,NC_004350,NP_722381.1,TR-BCJA1C,TR-BCJA1C,2.3,16.4,2,105,0,1,1,
,Pseudomonas putida KT2440,0,0,NC_002947,NP_743729.1,TR-SPP1,TR-SPP1,5.40E-22,86.6,4,116,1,0,1,
,Pseudomonas putida KT2440,0,0,NC_002947,NP_743729.1,TR-Che8,TR-Che8,0.55,18.8,15,120,0,1,1,
,Pseudomonas putida KT2440,0,0,NC_002947,NP_745417.1,TR-SPP1,TR-SPP1,0.085,21.4,3,61,1,0,1,
,Pseudomonas putida KT2440,0,0,NC_002947,NP_745417.1,TR-SPP1,TR-SPP1,0.085,21.4,221,298,0,0,0,
,Pseudomonas putida KT2440,0,0,NC_002947,NP_746001.1,TR-DMS3,TR-DMS3,0,61.9,1,74,0,0,0,
,Escherichia coli CFT073,0,0,NC_004431,NP_752890.1,TR-P2,TR-P2,5.70E-37,135,1,138,0,0,0,
,Escherichia coli CFT073,0,0,NC_004431,NP_753364.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli CFT073,0,0,NC_004431,NP_753488.1,TR-Lam,TR-Lam,0,209.1,1,131,0,0,0,
,Escherichia coli CFT073,0,0,NC_004431,NP_755046.1,TR-Lam,TR-Lam,0,209.7,1,131,0,0,0,
,Mycoplasma penetrans HF-2,0,0,NC_004432,NP_757918.1,TR-Sfi21,TR-Sfi21,3.5,16.1,74,162,0,0,0,
,Bradyrhizobium japonicum USDA 110,0,0,NC_004463,NP_767711.1,TR-Che8,TR-Che8,3.4,16.2,9,85,0,0,0,
,Buchnera aphidicola str. Bp (Baizongia pistaciae),Baizongia pistaciae,0,NC_004545,NP_777931.1,TR-T4,TR-T4,1.7,16.6,8,115,0,0,0,
,Xylella fastidiosa Temecula1,0,0,NC_004556,NP_779186.1,TR-Bcep1,TR-Bcep1,2.10E-16,68.3,22,122,0,0,0,
,Clostridium tetani E88,0,0,NC_004557,NP_782685.1,TR-CD38,TR-CD38,0,63.3,15,151,0,0,0,
,Pseudomonas syringae pv. tomato str. DC3000,0,0,NC_004578,NP_790422.1,TR-DMS3,TR-DMS3,9.60E-26,99,1,116,0,1,1,
,Pseudomonas syringae pv. tomato str. DC3000,0,0,NC_004578,NP_791904.1,TR-T1,TR-T1,0.00000049,37.9,5,116,1,0,1,
,Pseudomonas syringae pv. tomato str. DC3000,0,0,NC_004578,NP_791904.1,TR-T1,TR-T1,0.00000049,37.9,106,138,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801702.1,TR-SPP1,TR-SPP1,9.9,14.8,9,114,0,1,1,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801806.1,TR-SPP1,TR-SPP1,0.16,20.6,10,130,1,0,1,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801806.1,TR-MGAS315,TR-MGAS315,9.40E-23,88.7,19,136,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801902.1,TR-BCJA1C,TR-BCJA1C,1.21E-43,156.5,1,132,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802018.1,TR-Che8,TR-Che8,0.0033,26,1,110,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802181.1,TR-ListeriaB025,TR-ListeriaB025,0.000051,31.6,1,141,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802396.1,TR-ListeriaB025,TR-ListeriaB025,1.60E-38,140,2,126,0,1,1,
,Staphylococcus phage phi 12,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004616,NP_803342.1,TR-SPP1,TR-SPP1,0.0012,27.4,7,118,1,0,1,
,Staphylococcus phage phi 12,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004616,NP_803342.1,TR-ListeriaB025,TR-ListeriaB025,5.50E-24,92.9,1,128,0,1,1,
,Staphylococcus phage phi13,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004617,NP_803393.1,TR-SPP1,TR-SPP1,4.2,16,5,113,1,1,1,
,Staphylococcus phage phi13,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004617,NP_803393.1,TR-Sfi21,TR-Sfi21,6.1,15.3,2,100,1,1,1,
