,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,
,,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049402.1,DUF1268,DUF1268,5.04E-44,157.7,1,117,0,0,0,
,,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049801.1,TG_Fam1,TG_Fam1,0.0000000018,46,125,206,0,0,0,
,,Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049934.1,DUF1268,DUF1268,3.30E-41,148.6,1,117,0,0,0,
,,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049977.1,DUF1268,DUF1268,0,164.7,1,117,0,0,0,
,,Enterobacteria phage Mu,Escherichia coli,neg,NC_000929,NP_050645.1,FluMu_gp41,FluMu_gp41,0.0000000029,45.1,25,124,0,0,0,
,,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056687.1,DUF3647,DUF3647,2.70E-27,103.6,3,114,0,0,0,
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058452.1,TH_Fam3,TH_Fam3,0,324.1,1,148,0,0,0,
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061513.1,U_Phage_TAC_13,U_Phage_TAC_13,6.30E-35,127.8,6,109,0,0,0,
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061639.1,TH_Fam3,TH_Fam3,0,331.7,1,148,0,0,0,
,,Mycoplasma genitalium G37,0,0,NC_000908,NP_072825.1,DUF3647,DUF3647,6.3,15.4,1,55,0,0,0,
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076623.1,TG_Fam3,TG_Fam3,4.60E-21,83.4,1,119,0,0,0,
,,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076685.1,DUF1268,DUF1268,2.66E-44,158.6,1,124,0,0,0,
,,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076744.1,DUF1268,DUF1268,4.60E-38,138.5,1,111,0,0,0,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_104077.1,TG_Fam1,TG_Fam1,0.59,18.6,7,26,0,1,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106459.1,DUF2376,DUF2376,4.7,15.8,47,76,1,0,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106459.1,DUF2376,DUF2376,4.7,15.8,138,154,0,0,0,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107035.1,TG_Fam4,TG_Fam4,2.10E-39,141.9,7,98,0,1,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108207.1,DUF3356,DUF3356,5.9,15.1,7,99,1,0,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108207.1,TG_Fam7,TG_Fam7,0.00015,29.7,5,103,0,0,0,
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108723.1,DUF3647,DUF3647,6.10E-24,92.8,2,111,0,0,0,
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112706.1,DUF3647,DUF3647,6.10E-24,92.8,2,111,0,0,0,
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116505.1,DUF1268,DUF1268,1.96E-44,159,1,124,0,0,0,
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150173.1,U_TG_Cr,U_TG_Cr,8.4,14.1,26,126,0,0,0,
,,Helicobacter pylori 26695,0,0,NC_000915,NP_207515.1,Phage_Gp14,Phage_Gp14,3.2,16.1,43,125,0,0,0,
,,Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215878.1,DUF2669,DUF2669,6.5,14.9,99,162,0,1,1,
,,Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_216282.2,DUF2376,DUF2376,6.7,15.3,37,56,1,0,1,
,,Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_216282.2,DUF2376,DUF2376,6.7,15.3,58,88,0,0,0,
,,Treponema pallidum subsp. pallidum str. Nichols,0,0,NC_000919,NP_219044.1,XkdN,XkdN,6.4,15,100,172,0,0,0,
,,Treponema pallidum subsp. pallidum str. Nichols,0,0,NC_000919,NP_219145.1,TG_Fam6,TG_Fam6,10,14.6,55,118,0,0,0,
,,Helicobacter pylori J99,0,0,NC_000921,NP_223376.1,Phage_Gp14,Phage_Gp14,7.2,14.9,43,125,0,1,1,
,,Thermotoga maritima MSB8,0,0,NC_000853,NP_228261.1,TG_Fam1,TG_Fam1,1.3,17.5,1,19,1,0,1,
,,Thermotoga maritima MSB8,0,0,NC_000853,NP_228261.1,TG_Fam1,TG_Fam1,1.3,17.5,21,45,0,0,0,
,,Thermotoga maritima MSB8,0,0,NC_000853,NP_229505.1,TG_Fam5,TG_Fam5,9.6,14.6,400,494,0,0,0,
,,Bacillus halodurans C-125,0,0,NC_002570,NP_241824.1,DUF3647,DUF3647,5.60E-17,70.3,3,107,0,1,1,
,,Pasteurella multocida subsp. multocida str. Pm70,0,0,NC_002663,NP_245552.1,TG_Fam1,TG_Fam1,0.71,18.4,552,615,1,0,1,
,,Pasteurella multocida subsp. multocida str. Pm70,0,0,NC_002663,NP_245552.1,TG_Fam1,TG_Fam1,0.71,18.4,664,681,0,0,0,
,,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_248921.1,DUF2376,DUF2376,10,14.8,404,431,0,0,0,
,,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249315.1,FluMu_gp41,FluMu_gp41,3.10E-16,67.4,19,96,0,0,0,
,,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249325.1,U_Phage_TAC_13,U_Phage_TAC_13,5.70E-19,76.6,4,107,0,0,0,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266634.1,DUF1268,DUF1268,4.60E-38,138.5,1,111,0,0,0,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267203.1,TG_Fam3,TG_Fam3,4.60E-21,83.4,1,119,0,0,0,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267545.1,DUF1268,DUF1268,2.66E-44,158.6,1,124,0,0,0,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269174.1,DUF3647,DUF3647,6.50E-25,95.9,2,110,0,1,1,
,,Neisseria meningitidis MC58,0,0,NC_003112,NP_274137.1,FluMu_gp41,FluMu_gp41,0.29,19.5,3,104,1,0,1,
,,Neisseria meningitidis MC58,0,0,NC_003112,NP_274137.1,TG_Fam10,TG_Fam10,0,210.5,1,121,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286521.1,Phage_lambd_GpG,Phage_lambd_GpG,1.79E-43,155.6,5,126,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286521.1,TIGR01674,TIGR01674,0,190.6,5,132,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286893.1,U_Phage_TAC_1,U_Phage_TAC_1,0,171.5,1,124,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287300.1,U_Phage_TAC_1,U_Phage_TAC_1,0,172.5,17,140,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287379.1,Phage_lambd_GpG,Phage_lambd_GpG,0,187.3,1,126,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287379.1,TIGR01674,TIGR01674,0,215.3,1,136,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287388.1,U_Phage_TAC_1,U_Phage_TAC_1,2.80E-25,97.1,1,78,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287592.1,Phage_lambd_GpG,Phage_lambd_GpG,0,190.9,25,151,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287592.1,TIGR01674,TIGR01674,0,164.8,25,163,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287592.1,U_Phage_TAC_1,U_Phage_TAC_1,3.9,15.8,9,126,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287789.1,Phage_lambd_GpG,Phage_lambd_GpG,0,190.9,25,151,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287789.1,TIGR01674,TIGR01674,0,164.8,25,163,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287789.1,U_Phage_TAC_1,U_Phage_TAC_1,3.9,15.8,9,126,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287936.1,DUF3356,DUF3356,4.2,15.6,176,267,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287936.1,DUF3356,DUF3356,4.2,15.6,466,520,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287973.1,U_Phage_TAC_1,U_Phage_TAC_1,0,173.9,17,140,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288367.1,FluMu_gp41,FluMu_gp41,0.018,23.3,25,107,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288448.1,Phage_lambd_GpG,Phage_lambd_GpG,0,181.8,1,126,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288448.1,TIGR01674,TIGR01674,1.30E-31,117.5,1,136,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288448.1,U_Phage_TAC_1,U_Phage_TAC_1,7.1,14.9,5,70,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288653.1,U_Phage_TAC_1,U_Phage_TAC_1,0,168.9,1,124,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_289897.1,TG_Fam1,TG_Fam1,7.4,15.1,7,24,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_289897.1,TG_Fam1,TG_Fam1,7.4,15.1,29,45,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_290207.1,Phage_Gp14,Phage_Gp14,5.7,15.3,137,251,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298019.1,FluMu_gp41,FluMu_gp41,0.00000000014,49.3,19,95,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298874.1,DUF2669,DUF2669,0,209.7,7,139,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298979.1,DUF2669,DUF2669,0,209.7,7,139,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_299354.1,DUF1789,DUF1789,8.6,14.9,4,89,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_299489.1,TG_Fam7,TG_Fam7,0.16,19.8,18,109,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_299761.1,FluMu_gp41,FluMu_gp41,0.00000000014,49.3,19,95,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308862.1,Phage_lambd_GpG,Phage_lambd_GpG,1.60E-43,155.8,1,122,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308862.1,TIGR01674,TIGR01674,0,190.8,1,128,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309139.2,Phage_lambd_GpG,Phage_lambd_GpG,0,191.6,1,127,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309139.2,TIGR01674,TIGR01674,0,165.6,1,139,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309139.2,U_Phage_TAC_1,U_Phage_TAC_1,4.1,15.7,5,102,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309577.1,U_Phage_TAC_1,U_Phage_TAC_1,0,172.8,1,124,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309668.1,Phage_lambd_GpG,Phage_lambd_GpG,0,187.3,1,126,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309668.1,TIGR01674,TIGR01674,0,215.3,1,136,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309828.1,U_Phage_TAC_1,U_Phage_TAC_1,0,172.8,1,124,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309862.1,DUF3356,DUF3356,4.2,15.6,176,267,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309862.1,DUF3356,DUF3356,4.2,15.6,466,520,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310008.1,U_Phage_TAC_1,U_Phage_TAC_1,0,171.5,1,124,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310195.1,Phage_lambd_GpG,Phage_lambd_GpG,0,184.5,1,126,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310195.1,TIGR01674,TIGR01674,5.90E-32,118.6,1,136,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310195.1,U_Phage_TAC_1,U_Phage_TAC_1,6.2,15.1,5,70,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310269.1,U_Phage_TAC_1,U_Phage_TAC_1,0,174.5,1,124,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310670.1,FluMu_gp41,FluMu_gp41,0.018,23.3,25,107,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310755.1,Phage_lambd_GpG,Phage_lambd_GpG,0,191.6,1,127,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310755.1,TIGR01674,TIGR01674,0,165.6,1,139,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310755.1,U_Phage_TAC_1,U_Phage_TAC_1,4.1,15.7,5,102,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310978.1,Phage_lambd_GpG,Phage_lambd_GpG,0,181.8,1,126,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310978.1,TIGR01674,TIGR01674,1.30E-31,117.5,1,136,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310978.1,U_Phage_TAC_1,U_Phage_TAC_1,7.1,14.9,5,70,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_312529.1,Phage_Gp14,Phage_Gp14,5.7,15.3,137,251,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_313008.1,FluMu_gp41,FluMu_gp41,0.000000017,42.7,41,138,0,1,1,
,,Mycoplasma pulmonis UAB CTIP,0,0,NC_002771,NP_326197.1,DUF3647,DUF3647,3.3,16.3,2,47,1,0,1,
,,Mycoplasma pulmonis UAB CTIP,0,0,NC_002771,NP_326197.1,DUF3647,DUF3647,3.3,16.3,45,112,0,0,0,
,,Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_335856.1,DUF2669,DUF2669,6.5,14.9,99,162,0,1,1,
,,Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_336272.1,DUF2376,DUF2376,6.7,15.3,37,56,1,0,1,
,,Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_336272.1,DUF2376,DUF2376,6.7,15.3,58,88,0,0,0,
,,Streptococcus pneumoniae TIGR4,0,0,NC_003028,NP_346151.1,TG_Fam1,TG_Fam1,1.9,17,1,19,0,0,0,
,,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_347020.1,DUF3647,DUF3647,0.42,19.2,148,263,0,0,0,
,,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_349415.1,TG_Fam5,TG_Fam5,4.1,15.8,1,53,0,0,0,
,,Streptococcus pneumoniae R6,0,0,NC_003098,NP_359150.2,TG_Fam1,TG_Fam1,1.9,17,1,19,0,0,0,
,,uncultured bacterium,0,0,NC_003122,NP_361057.1,TG_Fam9,TG_Fam9,9,14.8,4,80,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_371423.1,DUF3647,DUF3647,7.60E-25,95.7,2,114,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_371970.1,TG_Fam2,TG_Fam2,0.94,18,3,81,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372229.1,DUF2669,DUF2669,5.4,15.2,251,384,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372480.1,TH_Fam3,TH_Fam3,0.15,20,5,116,0,0,0,
,,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372785.1,TIGR01674,TIGR01674,1.6,16.8,725,809,0,0,0,
,,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_374560.1,TG_Fam2,TG_Fam2,0.94,18,3,81,0,0,0,
,,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_374815.1,DUF2669,DUF2669,5.4,15.2,251,384,0,0,0,
,,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375065.1,TH_Fam3,TH_Fam3,0.15,20,5,116,0,0,0,
,,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375374.1,TIGR01674,TIGR01674,1.6,16.8,725,809,0,0,0,
,,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_388341.1,XkdN,XkdN,6,15.1,99,207,0,0,0,
,,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_389149.2,XkdN,XkdN,1.90E-39,143,10,147,0,0,0,
,,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390278.1,XkdN,XkdN,0.42,18.8,115,214,0,0,0,
,,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390815.1,DUF3647,DUF3647,6.5,15.3,155,262,0,1,1,
,,Escherichia coli str. K-12 substr. MG1655,0,0,NC_000913,NP_415779.1,DUF3356,DUF3356,2.8,16.2,176,267,1,0,1,
,,Escherichia coli str. K-12 substr. MG1655,0,0,NC_000913,NP_415779.1,DUF3356,DUF3356,2.8,16.2,466,520,0,0,0,
,,Escherichia coli str. K-12 substr. MG1655,0,0,NC_000913,NP_415909.4,TG_Fam1,TG_Fam1,8.7,14.9,41,141,0,1,1,
,,Caulobacter crescentus CB15,0,0,NC_002696,NP_419194.1,TG_Fam1,TG_Fam1,0.034,22.6,1,68,1,0,1,
,,Caulobacter crescentus CB15,0,0,NC_002696,NP_419194.1,TG_Fam1,TG_Fam1,0.034,22.6,91,122,0,0,0,
,,Caulobacter crescentus CB15,0,0,NC_002696,NP_422133.1,TG_Fam1,TG_Fam1,8.6,14.9,10,54,0,1,1,
,,Haemophilus influenzae Rd KW20,0,0,NC_000907,NP_438219.2,TG_Fam1,TG_Fam1,5.1,15.6,5,17,1,0,1,
,,Haemophilus influenzae Rd KW20,0,0,NC_000907,NP_438219.2,TG_Fam1,TG_Fam1,5.1,15.6,18,34,0,0,0,
,,Haemophilus influenzae Rd KW20,0,0,NC_000907,NP_439663.1,FluMu_gp41,FluMu_gp41,0.0000029,35.5,2,99,0,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460014.1,Phage_lambd_GpG,Phage_lambd_GpG,9.95E-44,156.4,1,126,1,0,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460014.1,TIGR01674,TIGR01674,0,204,1,132,0,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460683.1,DUF3356,DUF3356,7.2,14.9,176,267,1,0,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460683.1,DUF3356,DUF3356,7.2,14.9,462,521,0,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461532.1,Phage_lambd_GpG,Phage_lambd_GpG,2.52E-44,158.4,1,126,1,1,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461532.1,TIGR01674,TIGR01674,3.00E-38,139,1,131,1,0,1,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461532.1,U_Phage_TAC_1,U_Phage_TAC_1,5.9,15.2,6,86,0,0,0,
,,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461627.1,FluMu_gp41,FluMu_gp41,0,54.6,9,89,0,0,0,
,,Listeria phage A118,Listeria monocytogenes,pos,NC_003216,NP_463475.1,Phage_Gp14,Phage_Gp14,0,306.7,1,140,0,1,1,
,,Nostoc sp. PCC 7120,0,0,NC_003272,NP_485108.1,TG_Fam1,TG_Fam1,2.1,16.9,15,37,1,0,1,
,,Nostoc sp. PCC 7120,0,0,NC_003272,NP_485108.1,TG_Fam1,TG_Fam1,2.1,16.9,36,51,0,0,0,
,,Nostoc sp. PCC 7120,0,0,NC_003272,NP_488352.1,DUF2376,DUF2376,5.3,15.6,148,184,0,0,0,
,,Pseudomonas phage phiCTX,Pseudomonas aeruginosa,neg,NC_003278,NP_490623.1,FluMu_gp41,FluMu_gp41,0.0000000012,46.4,17,97,0,0,0,
,,Staphylococcus phage phiETA,Staphylococcus aureus,pos,NC_003288,NP_510945.1,DUF3647,DUF3647,1.60E-33,123.7,11,127,0,0,0,
,,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_518381.1,DUF2376,DUF2376,8.1,15,143,167,0,0,0,
,,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_518985.1,U_TG_Cr,U_TG_Cr,2,16.2,70,132,0,0,0,
,,Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_520037.1,FluMu_gp41,FluMu_gp41,0,63,17,97,0,0,0,
,,Burkholderia phage phiE125,Burkholderia thailandensis,neg,NC_003309,NP_536369.1,U_Phage_TAC_1,U_Phage_TAC_1,2.00E-38,139.5,9,147,0,0,0,
,,Vibrio phage K139,Vibrio cholerae O139,neg,NC_003313,NP_536662.1,DUF2765,DUF2765,4.10E-26,99.1,110,192,0,0,0,
,,Haemophilus phage HP2,Haemophilus influenzae,neg,NC_003315,NP_536833.1,DUF2765,DUF2765,4.30E-26,99,21,102,0,0,0,
,,Enterobacteria phage phiP27,Escherichia coli,neg,NC_003356,NP_543098.1,FluMu_gp41,FluMu_gp41,0.0000012,36.7,5,89,0,0,0,
,,Clostridium perfringens str. 13,0,0,NC_003366,NP_561263.1,TG_Fam5,TG_Fam5,6.1,15.2,161,212,0,0,0,
,,Clostridium perfringens str. 13,0,0,NC_003366,NP_561462.1,DUF1789,DUF1789,3.7,16.1,3,75,0,0,0,
,,Clostridium perfringens str. 13,0,0,NC_003366,NP_563133.1,TG_Fam5,TG_Fam5,4.7,15.6,19,90,0,0,0,
,,Enterobacteria phage SfV,Shigella flexneri,neg,NC_003444,NP_599045.1,FluMu_gp41,FluMu_gp41,0,61.7,3,87,0,0,0,
,,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_602583.1,DUF3647,DUF3647,2.4,16.8,64,125,0,0,0,
,,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606631.1,TH_Fam3,TH_Fam3,9.5,14.1,6,99,0,0,0,
,,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607367.1,DUF3647,DUF3647,1.00E-27,105,2,114,0,0,0,
,,Thermoanaerobacter tengcongensis MB4,0,0,NC_003869,NP_621996.1,DUF3647,DUF3647,7,15.2,45,99,0,0,0,
,,Thermoanaerobacter tengcongensis MB4,0,0,NC_003869,NP_623425.1,TG_Fam3,TG_Fam3,7.6,14.7,152,248,0,1,1,
,,Streptomyces coelicolor A3(2),0,0,NC_003888,NP_626813.1,TG_Fam1,TG_Fam1,0.34,19.4,14,59,1,0,1,
,,Streptomyces coelicolor A3(2),0,0,NC_003888,NP_626813.1,TG_Fam1,TG_Fam1,0.34,19.4,62,75,0,0,0,
,,Streptomyces coelicolor A3(2),0,0,NC_003888,NP_628425.1,TG_Fam4,TG_Fam4,2.00E-40,145.2,56,147,0,1,1,
,,Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_637659.1,TG_Fam7,TG_Fam7,9.7,14,175,207,1,0,1,
,,Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_637659.1,TG_Fam7,TG_Fam7,9.7,14,327,388,0,0,0,
,,Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_638338.1,FluMu_gp41,FluMu_gp41,0,57.1,8,88,0,0,0,
,,Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_639074.1,TIGR02216,TIGR02216,7.9,14.9,2,41,0,1,1,
