Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076626.1,BH-phiETA,BH-phiETA,0.00036,28.2,30,364,1,0,1
Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076626.1,BH-SPP1,BH-SPP1,3.80E-37,136.5,26,344,0,0,0
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076688.1,Bl-MGAS315,Bl-MGAS315,0,327.1,1,590,0,1,1
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076691.1,Bl-MGAS315,Bl-MGAS315,0,201.5,327,378,1,0,1
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076691.1,Bl-MGAS315,Bl-MGAS315,0,201.5,365,578,0,1,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076748.1,Bl-MGAS315,Bl-MGAS315,0,838,1,651,1,1,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076748.1,Bl-MGAS315,Bl-MGAS315,0,838,647,733,1,1,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076748.1,Bl-MGAS315,Bl-MGAS315,0,838,727,804,1,1,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076748.1,Bl-MGAS315,Bl-MGAS315,0,838,798,999,1,0,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076748.1,Bl-MGAS315,Bl-MGAS315,0,838,1121,1231,0,1,1
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108727.1,BH-phiETA,BH-phiETA,0.014,22.9,49,375,1,1,1
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108727.1,BH-phiETA,BH-phiETA,0.014,22.9,334,399,1,0,1
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108727.1,BH-SPP1,BH-SPP1,0,319.6,29,353,0,1,1
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112710.1,BH-phiETA,BH-phiETA,0.013,23,51,394,1,0,1
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112710.1,BH-SPP1,BH-SPP1,0,321.9,29,353,0,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1,479,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,479,537,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,813,863,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,850,1015,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1010,1088,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1081,1171,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1166,1243,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1237,1325,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1322,1402,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1393,1482,1,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1478,1556,1,0,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116510.1,Bl-MGAS315,Bl-MGAS315,0,1131.2,1549,1767,0,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1,301,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,333,585,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,580,658,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,652,815,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,810,1036,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1032,1193,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1187,1351,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1344,1507,1,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1503,1680,1,0,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150177.1,Bl-MGAS315,Bl-MGAS315,0,1682.9,1779,1989,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240880.1,BH-phiETA,BH-phiETA,0,208.5,61,383,1,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240880.1,BH-SPP1,BH-SPP1,3.60E-33,123.4,57,362,1,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240880.1,BH-Giles,BH-Giles,4.1,15.1,46,124,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240880.1,BH-Giles,BH-Giles,4.1,15.1,272,360,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_241828.1,BH-SPP1,BH-SPP1,4.30E-18,73.9,28,360,1,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_241828.1,BH-Lb338,BH-Lb338,0.0000018,34.6,813,934,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_241828.1,BH-Lb338,BH-Lb338,0.0000018,34.6,931,985,0,0,0
Bacillus halodurans C-125,0,0,NC_002570,NP_243822.1,BH-Lb338,BH-Lb338,9.5,12.4,433,669,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244382.1,BH-phiETA,BH-phiETA,0,211.1,61,378,1,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244382.1,BH-SPP1,BH-SPP1,1.50E-31,118.1,57,357,1,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244382.1,BH-Giles,BH-Giles,0.22,19.3,46,184,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_244382.1,BH-Giles,BH-Giles,0.22,19.3,221,348,0,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266637.1,Bl-MGAS315,Bl-MGAS315,0,838,1,651,1,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266637.1,Bl-MGAS315,Bl-MGAS315,0,838,647,733,1,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266637.1,Bl-MGAS315,Bl-MGAS315,0,838,727,804,1,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266637.1,Bl-MGAS315,Bl-MGAS315,0,838,798,999,1,0,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266637.1,Bl-MGAS315,Bl-MGAS315,0,838,1121,1231,0,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267207.1,BH-phiETA,BH-phiETA,0.00036,28.2,30,364,1,0,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267207.1,BH-SPP1,BH-SPP1,3.80E-37,136.5,26,344,0,1,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267539.1,Bl-MGAS315,Bl-MGAS315,0,201.5,327,378,1,0,1
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267539.1,Bl-MGAS315,Bl-MGAS315,0,201.5,365,578,0,0,0
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267542.1,Bl-MGAS315,Bl-MGAS315,0,327.1,1,590,0,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268935.1,BH-SPP1,BH-SPP1,3.60E-21,84,25,371,1,0,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268935.1,BH-SPP1,BH-SPP1,3.60E-21,84,385,436,0,1,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269178.1,BH-phiETA,BH-phiETA,0.000096,30.1,73,402,1,0,1
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269178.1,BH-SPP1,BH-SPP1,3.00E-18,74.4,24,370,0,0,0
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269529.1,BH-SPP1,BH-SPP1,3.60E-39,143.1,15,333,0,0,0
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346709.1,BH-SPP1,BH-SPP1,0,167.5,31,334,0,0,0
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_347752.1,BH-Lb338,BH-Lb338,0.009,22.4,19,108,0,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348503.1,BH-phiETA,BH-phiETA,0,64.8,23,335,1,0,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348503.1,BH-SPP1,BH-SPP1,0,287.4,19,314,0,1,1
Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_371427.1,BH-phiETA,BH-phiETA,0,186.3,22,351,1,0,1
Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_371427.1,BH-Giles,BH-Giles,0.0043,24.9,53,331,0,0,0
Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372477.1,BH-SPP1,BH-SPP1,0,316.1,24,337,0,0,0
Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375062.1,BH-SPP1,BH-SPP1,0,313.1,24,337,0,0,0
Sinorhizobium meliloti 1021,0,0,NC_003047,NP_386783.1,BH-Giles,BH-Giles,9.1,14,32,158,0,1,1
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438156.1,BH-SPP1,BH-SPP1,3.00E-22,87.5,25,371,1,0,1
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438156.1,BH-SPP1,BH-SPP1,3.00E-22,87.5,376,436,0,0,0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_459289.1,BH_Fam3,BH_Fam3,6.9,14.2,1149,1275,0,0,0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_459290.1,BH_Fam3,BH_Fam3,0.29,18.7,36,135,0,0,0
Listeria phage A118,Listeria monocytogenes,pos,NC_003216,NP_463479.1,BH-phiETA,BH-phiETA,0,314.8,28,341,0,0,0
Staphylococcus phage phiETA,Staphylococcus aureus,pos,NC_003288,NP_510949.1,BH-phiETA,BH-phiETA,0,245.5,21,349,0,1,1
Listeria phage 2389,Listeria monocytogenes,pos,NC_003291,NP_510995.1,BH-phiETA,BH-phiETA,0,63.6,29,365,1,0,1
Listeria phage 2389,Listeria monocytogenes,pos,NC_003291,NP_510995.1,BH-SPP1,BH-SPP1,0,350.7,25,344,0,1,1
Clostridium perfringens str. 13,0,0,NC_003366,NP_562048.1,BH-phiETA,BH-phiETA,0,50,31,364,1,0,1
Clostridium perfringens str. 13,0,0,NC_003366,NP_562048.1,BH-SPP1,BH-SPP1,0,350.7,23,343,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606634.1,BH-phiETA,BH-phiETA,0.000045,31.1,73,399,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606634.1,BH-SPP1,BH-SPP1,1.40E-16,68.9,24,371,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606938.1,BH-SPP1,BH-SPP1,6.10E-18,73.4,2,315,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606938.1,BH-SPP1,BH-SPP1,6.10E-18,73.4,328,380,0,1,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607362.1,BH-phiETA,BH-phiETA,0.00033,28.3,86,395,1,0,1
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607362.1,BH-SPP1,BH-SPP1,4.00E-17,70.7,24,370,0,0,0
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607534.1,BH-SPP1,BH-SPP1,2.30E-39,143.7,15,333,0,1,1
Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612844.1,BH-phiETA,BH-phiETA,0.000000049,40.9,28,363,1,0,1
Clostridium phage phi3626,Clostridium perfringens,pos,NC_003524,NP_612844.1,BH-SPP1,BH-SPP1,0,229.2,24,343,0,0,0
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646205.1,BH-phiETA,BH-phiETA,0,332.1,30,495,0,0,0
Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646710.1,BH-SPP1,BH-SPP1,0,313.6,24,337,0,1,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663686.1,BH-phiETA,BH-phiETA,0.014,23,42,386,1,0,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663686.1,BH-SPP1,BH-SPP1,0,335.4,20,344,0,1,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663688.1,Bl-MGAS315,Bl-MGAS315,0.095,19.1,8,70,1,0,1
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663688.1,Bl-MGAS315,Bl-MGAS315,0.095,19.1,198,287,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664528.1,BH-phiETA,BH-phiETA,0.000037,31.4,73,399,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664528.1,BH-SPP1,BH-SPP1,1.50E-16,68.8,24,371,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664734.1,BH-SPP1,BH-SPP1,8.10E-18,73,2,315,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664734.1,BH-SPP1,BH-SPP1,8.10E-18,73,328,380,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664906.1,BH-SPP1,BH-SPP1,4.30E-38,139.6,20,338,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665019.1,BH-SPP1,BH-SPP1,3.00E-22,87.5,25,371,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665019.1,BH-SPP1,BH-SPP1,3.00E-22,87.5,376,436,0,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665115.1,BH-phiETA,BH-phiETA,1,16.8,33,255,1,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665115.1,Bl-MGAS315,Bl-MGAS315,0,366.8,1,273,1,1,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665115.1,Bl-MGAS315,Bl-MGAS315,0,366.8,617,970,1,0,1
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665115.1,Bl-MGAS315,Bl-MGAS315,0,366.8,964,1144,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665223.1,BH-phiETA,BH-phiETA,0,270.9,20,347,0,1,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680496.1,BH-SPP1,BH-SPP1,0.000025,31.9,47,265,1,1,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680496.1,BH-SPP1,BH-SPP1,0.000025,31.9,268,374,1,1,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680496.1,Bl-MGAS315,Bl-MGAS315,5.70E-23,89.4,65,402,1,1,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680496.1,Bl-MGAS315,Bl-MGAS315,5.70E-23,89.4,391,526,1,0,1
Lactobacillus phage A2,Lactobacillus casei,pos,NC_004112,NP_680496.1,Bl-MGAS315,Bl-MGAS315,5.70E-23,89.4,522,664,0,1,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687625.1,BH-phiETA,BH-phiETA,0.000068,30.5,85,792,1,1,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687625.1,Bl-MGAS315,Bl-MGAS315,0,446.7,1,255,1,1,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687625.1,Bl-MGAS315,Bl-MGAS315,0,446.7,616,839,1,1,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687625.1,Bl-MGAS315,Bl-MGAS315,0,446.7,848,1080,1,0,1
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_687625.1,Bl-MGAS315,Bl-MGAS315,0,446.7,1180,1373,0,0,0
Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_688832.1,BH-SPP1,BH-SPP1,8.60E-32,118.9,25,327,0,1,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690694.2,BH-SPP1,BH-SPP1,0,55.8,56,284,1,1,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690694.2,BH-SPP1,BH-SPP1,0,55.8,289,377,1,1,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690694.2,BH-Lb338,BH-Lb338,0.000000075,39.2,515,608,1,0,1
Bacillus phage SPP1,Bacillus subtilis,pos,NC_004166,NP_690694.2,BH-Lb338,BH-Lb338,0.000000075,39.2,718,811,0,0,0
Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690772.1,BH-phiETA,BH-phiETA,0,53.5,218,310,0,1,1
Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690773.1,BH-phiETA,BH-phiETA,5.10E-43,155.8,4,236,1,0,1
Bacillus phage phi105,Bacillus subtilis,pos,NC_004167,NP_690773.1,BH-SPP1,BH-SPP1,0.00054,27.5,8,210,0,0,0
Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_691136.1,BH-Lb338,BH-Lb338,0.000012,31.9,630,808,0,0,0
Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_692964.1,BH-phiETA,BH-phiETA,1.3,16.5,41,172,0,0,0
Lactococcus phage r1t,Lactococcus lactis,pos,NC_004302,NP_695072.1,BH-Giles,BH-Giles,0,323.2,15,371,0,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695120.1,BH-phiETA,BH-phiETA,1.4,16.3,41,270,1,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695120.1,Bl-MGAS315,Bl-MGAS315,0,231.1,1,247,1,0,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695120.1,Bl-MGAS315,Bl-MGAS315,0,231.1,646,992,0,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695123.1,Bl-MGAS315,Bl-MGAS315,0,1465.9,4,39,1,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695123.1,Bl-MGAS315,Bl-MGAS315,0,1465.9,48,93,1,1,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695123.1,Bl-MGAS315,Bl-MGAS315,0,1465.9,77,133,1,0,1
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695123.1,Bl-MGAS315,Bl-MGAS315,0,1465.9,130,843,0,1,1
Lactobacillus phage phig1e,Lactobacillus,pos,NC_004305,NP_695157.1,BH-phiETA,BH-phiETA,0,244.6,21,340,1,0,1
Lactobacillus phage phig1e,Lactobacillus,pos,NC_004305,NP_695157.1,BH-SPP1,BH-SPP1,3.2,15.2,142,284,0,1,1
Corynebacterium efficiens YS-314,0,0,NC_004369,NP_737466.1,BH-Giles,BH-Giles,0.13,20.1,88,190,1,0,1
Corynebacterium efficiens YS-314,0,0,NC_004369,NP_737466.1,BH-Giles,BH-Giles,0.13,20.1,420,506,0,1,1
Clostridium tetani E88,0,0,NC_004557,NP_782155.1,BH-phiETA,BH-phiETA,1.10E-17,72.6,29,367,1,1,1
Clostridium tetani E88,0,0,NC_004557,NP_782155.1,BH-SPP1,BH-SPP1,0,167.1,25,346,1,1,1
Clostridium tetani E88,0,0,NC_004557,NP_782155.1,BH-SPP1,BH-SPP1,0,167.1,381,455,1,0,1
Clostridium tetani E88,0,0,NC_004557,NP_782155.1,BH-SPP1,BH-SPP1,0,167.1,434,520,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801708.1,BH-phiETA,BH-phiETA,0.000000072,40.3,1,87,0,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801812.1,BH-phiETA,BH-phiETA,1,16.8,33,255,1,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801812.1,Bl-MGAS315,Bl-MGAS315,0,366.8,1,273,1,1,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801812.1,Bl-MGAS315,Bl-MGAS315,0,366.8,617,970,1,0,1
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801812.1,Bl-MGAS315,Bl-MGAS315,0,366.8,964,1144,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802024.1,BH-SPP1,BH-SPP1,4.30E-38,139.6,20,338,0,1,1
