,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,U_TM_TP-C,U_TM_TP-C,0.0031,26,300,345,1,1,1
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,U_TM_TP-C,U_TM_TP-C,0.0031,26,525,564,1,1,1
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,U_TM_TP-C,U_TM_TP-C,0.0031,26,562,584,1,0,1
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,U_TM_TP-C,U_TM_TP-C,0.0031,26,590,657,0,0,0
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,U_TM_TP-C,U_TM_TP-C,0.0031,26,640,677,0,1,1
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046911.1,TM-Lam,TM-Lam,0,241.3,50,259,1,1,1
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046911.1,TIGR01541,TIGR01541,0,189.8,14,87,1,1,1
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046911.1,TIGR01541,TIGR01541,0,189.8,473,718,1,0,1
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046911.1,TIGR01541,TIGR01541,0,189.8,710,783,0,0,0
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046911.1,U_TM-PNJ,U_TM-PNJ,1.20E-23,91.1,55,141,0,0,0
,,Methanobacterium phage psiM2,Methanobacterium thermoautotrophicum,archaea,NC_001902,NP_046976.1,TM-P2,TM-P2,0.001,27.3,270,478,0,0,0
,,Methanobacterium phage psiM2,Methanobacterium thermoautotrophicum,archaea,NC_001902,NP_046976.1,TIGR01760,TIGR01760,0.00029,28.3,260,523,0,0,0
,,Streptomyces phage phiC31,Streptomyces,pos,NC_001978,NP_047934.1,TM-P2,TM-P2,2.50E-17,71.7,66,290,0,0,0
,,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049403.2,TIGR02675,TIGR02675,0.0000096,33.9,162,204,0,0,0
,,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049403.2,TIGR02675,TIGR02675,0.0000096,33.9,365,445,0,0,0
,,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049805.1,TM-T4,TM-T4,4.40E-28,105.3,199,262,0,0,0
,,Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049935.1,TIGR02675,TIGR02675,0.049,22,161,204,0,0,0
,,Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049935.1,TIGR02675,TIGR02675,0.049,22,365,445,0,0,0
,,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049978.1,TIGR02675,TIGR02675,0.0045,25.3,162,204,0,0,0
,,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049978.1,TIGR02675,TIGR02675,0.0045,25.3,365,445,0,1,1
,,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050160.1,TIGR02675,TIGR02675,0.00018,29.8,42,121,1,0,1
,,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050160.1,TIGR02675,TIGR02675,0.00018,29.8,97,152,0,0,0
,,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050160.1,U_TM_CT-IMP,U_TM_CT-IMP,0.011,23.5,1370,1400,0,0,0
,,Enterobacteria phage Mu,Escherichia coli,neg,NC_000929,NP_050646.1,TIGR02675,TIGR02675,0,50.3,156,230,0,0,0
,,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056689.1,TIGR02675,TIGR02675,0.000012,33.5,138,216,0,0,0
,,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056689.1,TM-SPP1,TM-SPP1,0.002,23.9,1284,1459,0,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM-P2,TM-P2,0,184.9,133,209,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM-P2,TM-P2,0,184.9,206,406,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM-Lam,TM-Lam,0.00054,28.2,84,268,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM-Lam,TM-Lam,0.00054,28.2,279,457,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM-Lam,TM-Lam,0.00054,28.2,548,640,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TIGR01760,TIGR01760,0,275.6,168,515,1,0,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM_Fam1,TM_Fam1,0.0099,23.8,6,168,0,0,0
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058453.1,TM_Fam1,TM_Fam1,0.0099,23.8,308,497,0,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058454.1,U_TM_TP-C,U_TM_TP-C,3.3,16.3,54,98,1,1,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058454.1,U_TM_TP-C,U_TM_TP-C,3.3,16.3,94,136,1,0,1
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058454.1,U_TM_TP-C,U_TM_TP-C,3.3,16.3,142,194,0,0,0
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058454.1,U_TM_TP-C,U_TM_TP-C,3.3,16.3,279,327,0,0,0
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061515.1,TM_Fam1,TM_Fam1,2.94E-44,160,1,266,0,1,1
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061516.1,TIGR01541,TIGR01541,1.60E-40,147.5,31,99,1,0,1
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061516.1,TIGR01541,TIGR01541,1.60E-40,147.5,100,389,0,0,0
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061516.1,TM_Fam3,TM_Fam3,0.24,19.7,235,386,0,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-P2,TM-P2,0,182.7,58,136,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-P2,TM-P2,0,182.7,135,208,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-P2,TM-P2,0,182.7,206,406,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-Lam,TM-Lam,0.16,20.1,58,271,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-Lam,TM-Lam,0.16,20.1,277,447,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM-Lam,TM-Lam,0.16,20.1,548,680,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TIGR01760,TIGR01760,0,272.4,168,515,1,1,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TIGR01760,TIGR01760,0,272.4,841,917,1,0,1
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM_Fam1,TM_Fam1,0.029,22.3,6,171,0,0,0
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061640.1,TM_Fam1,TM_Fam1,0.029,22.3,312,497,0,1,1
,,Methanothermobacter phage psiM100,Methanothermobacter wolfeii,archaea,NC_002628,NP_071830.1,TM-P2,TM-P2,0.0000043,35.1,269,508,1,1,1
,,Methanothermobacter phage psiM100,Methanothermobacter wolfeii,archaea,NC_002628,NP_071830.1,TIGR01760,TIGR01760,0.00000000057,47,290,567,1,1,1
,,Methanothermobacter phage psiM100,Methanothermobacter wolfeii,archaea,NC_002628,NP_071830.1,TM_Fam1,TM_Fam1,0.0000016,36.2,11,180,1,0,1
,,Methanothermobacter phage psiM100,Methanothermobacter wolfeii,archaea,NC_002628,NP_071830.1,TM_Fam1,TM_Fam1,0.0000016,36.2,216,373,0,0,0
,,Methanothermobacter phage psiM100,Methanothermobacter wolfeii,archaea,NC_002628,NP_071830.1,TM_Fam1,TM_Fam1,0.0000016,36.2,399,569,0,0,0
,,Mycoplasma genitalium G37,0,0,NC_000908,NP_073018.1,U_TM_T4-PSSM2,U_TM_T4-PSSM2,8.9,13.7,171,306,0,0,0
,,Mycoplasma genitalium G37,0,0,NC_000908,NP_073035.1,TM-SPP1,TM-SPP1,7.3,12.1,1,88,0,0,0
,,Mycoplasma genitalium G37,0,0,NC_000908,NP_073064.1,U_TM_T4-PMH1,U_TM_T4-PMH1,6.5,14.9,151,321,0,1,1
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,4.60E-21,83.1,198,235,1,1,1
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,4.60E-21,83.1,230,266,1,1,1
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,4.60E-21,83.1,469,514,1,1,1
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,4.60E-21,83.1,515,579,1,0,1
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,0.00000000013,49.1,515,527,0,0,0
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075289.1,U_TM_TP-C,U_TM_TP-C,0.00000000013,49.1,552,574,0,1,1
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075512.2,TM-P2,TM-P2,0,178.2,360,560,1,1,1
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075512.2,TIGR01760,TIGR01760,0,367.5,322,669,1,0,1
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075512.2,TIGR01760,TIGR01760,0,367.5,1103,1265,0,0,0
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075512.2,TM_Fam1,TM_Fam1,0.00028,28.9,249,652,0,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TM-P2,TM-P2,0,56.9,115,215,1,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TM-P2,TM-P2,0,56.9,213,401,1,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TIGR01760,TIGR01760,0.0000016,35.7,5,187,1,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TIGR01760,TIGR01760,0.0000016,35.7,93,233,1,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TIGR01760,TIGR01760,0.0000016,35.7,183,493,1,1,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TM_Fam3,TM_Fam3,0.0054,25,363,525,1,0,1
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,TM_Fam3,TM_Fam3,0.0054,25,640,724,0,0,0
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076624.1,U_TM_CT-IMP,U_TM_CT-IMP,0,64.1,661,704,0,0,0
,,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076686.1,TM-P2,TM-P2,0,165.8,320,530,0,0,0
,,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076686.1,TIGR01760,TIGR01760,1.26E-44,161.1,275,645,0,0,0
,,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076745.1,TIGR02675,TIGR02675,2.90E-18,74,370,444,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_102108.1,TM-Lam,TM-Lam,2.4,16.3,12,104,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_105181.1,TM_Fam3,TM_Fam3,7.5,14.8,254,383,0,1,1
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107038.1,TM_Fam10,TM_Fam10,0.015,23.5,353,378,1,1,1
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107038.1,TM_Fam7,TM_Fam7,0.018,23.3,352,378,1,1,1
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107038.1,TM_Fam9,TM_Fam9,0.0017,26.5,172,183,1,0,1
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107038.1,TM_Fam9,TM_Fam9,0.0017,26.5,355,378,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107038.1,TM_Fam5,TM_Fam5,0.00092,27.4,351,378,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108209.1,U_TM-PNJ,U_TM-PNJ,0.21,19.7,119,219,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108610.1,U_TM_CT-IMP,U_TM_CT-IMP,1.4,16.8,6,26,0,0,0
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108613.1,U_TM-PNJ,U_TM-PNJ,0.000026,32.3,140,228,0,0,0
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108706.1,U_TM_T4-PMH1,U_TM_T4-PMH1,0.036,22.3,2,95,0,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM-P2,TM-P2,0,192.3,96,296,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM-P2,TM-P2,0,192.3,305,375,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TIGR01760,TIGR01760,0,274.3,58,405,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM_Fam1,TM_Fam1,0,51.8,15,103,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM_Fam1,TM_Fam1,0,51.8,99,388,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM_Fam1,TM_Fam1,0,51.8,694,740,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,TM_Fam1,TM_Fam1,0,51.8,738,819,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,471,498,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,505,549,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,642,687,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,677,715,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,721,759,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,765,826,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,827,864,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,872,936,1,1,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,1.60E-28,107,933,957,1,0,1
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,0,50,877,884,0,0,0
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108725.1,U_TM_TP-C,U_TM_TP-C,0,50,909,931,0,0,0
,,Mycoplasma pneumoniae M129,0,0,NC_000912,NP_109788.1,TM_Fam1,TM_Fam1,1.1,17,64,183,0,0,0
,,Mycoplasma pneumoniae M129,0,0,NC_000912,NP_109878.1,TM_Fam1,TM_Fam1,3.1,15.6,50,111,0,0,0
,,Mycoplasma pneumoniae M129,0,0,NC_000912,NP_110087.1,TM-HK97,TM-HK97,0.65,17.9,6,151,0,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,TM-P2,TM-P2,0,190.4,96,296,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,TM-P2,TM-P2,0,190.4,300,375,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,TIGR01760,TIGR01760,0,270,58,405,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,TM_Fam1,TM_Fam1,0.0000000025,45.4,15,100,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,TM_Fam1,TM_Fam1,0.0000000025,45.4,100,388,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,471,498,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,505,549,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,677,738,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,739,776,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,784,848,1,1,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,1.40E-28,107.2,845,869,1,0,1
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,0.00000000073,46.8,789,796,0,0,0
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112708.1,U_TM_TP-C,U_TM_TP-C,0.00000000073,46.8,821,843,0,1,1
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116507.1,TM-P2,TM-P2,4.20E-27,103.7,320,543,1,1,1
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116507.1,TM-P2,TM-P2,4.20E-27,103.7,500,599,1,0,1
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116507.1,TIGR01760,TIGR01760,2.10E-27,104.3,275,533,0,0,0
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116507.1,TIGR01760,TIGR01760,2.10E-27,104.3,498,710,0,1,1
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150175.1,TIGR02675,TIGR02675,5.00E-20,79.7,134,212,1,1,1
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150175.1,TM-SPP1,TM-SPP1,0,56.7,783,908,1,1,1
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150175.1,TM-SPP1,TM-SPP1,0,56.7,900,1001,1,1,1
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150175.1,U_TM_TP-C,U_TM_TP-C,0.66,18.6,772,817,1,1,1
