,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,31
,,Lactococcus phage bIL67,Lactococcus,pos,NC_001629,NP_042317.1,TIGR01603,TIGR01603,0.06,21.3,11,196,0,0,0,
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043493.1,DUF2597,DUF2597,0,201.7,7,140,0,0,0,
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044957.1,L_lac_phage_MSP,L_lac_phage_MSP,0,676,1,301,0,0,0,
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046779.1,Phage_tube,Phage_tube,0,229.3,2,172,0,1,1,
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046839.1,TT_Fam6,TT_Fam6,0.24,19.7,2,179,1,0,1,
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046839.1,TT_Fam8,TT_Fam8,0,217.2,1,190,0,1,1,
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046908.1,Phage_tail_2,Phage_tail_2,9.7,14.7,14,151,1,1,1,
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046908.1,CF-HK97,CF-HK97,0.33,18.8,17,154,1,0,1,
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046908.1,TT_Fam1,TT_Fam1,0,405.9,1,245,0,0,0,
,,Streptomyces phage phiC31,Streptomyces,pos,NC_001978,NP_047930.1,TT_Fam5,TT_Fam5,0.059,22,201,321,0,1,1,
,,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049401.1,Phage_tail,Phage_tail,0,274,1,200,1,0,1,
,,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049401.1,TIGR01603,TIGR01603,0.0000018,36.1,28,195,0,0,0,
,,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049753.1,Phage_T4_gp19,Phage_T4_gp19,0,58.3,13,165,0,0,0,
,,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049781.1,Phage_T4_gp19,Phage_T4_gp19,0,60.3,17,163,0,1,1,
,,Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049933.1,Phage_tail,Phage_tail,0,285.1,1,200,1,0,1,
,,Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049933.1,TIGR01603,TIGR01603,0.00000062,37.6,3,194,0,1,1,
,,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049976.1,Phage_tail,Phage_tail,0,260,1,200,1,0,1,
,,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049976.1,TIGR01603,TIGR01603,0.0003,28.8,27,195,0,1,1,
,,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050156.1,Phage_tail,Phage_tail,0,219.7,10,221,1,0,1,
,,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050156.1,TIGR01603,TIGR01603,0.000042,31.6,28,196,0,0,0,
,,Enterobacteria phage Mu,Escherichia coli,neg,NC_000929,NP_050643.1,Phage_tail_2,Phage_tail_2,3.3,16.2,157,231,0,0,0,
,,Enterobacteria phage Mu,Escherichia coli,neg,NC_000929,NP_050644.1,Tail_tube,Tail_tube,2.90E-34,125.8,2,117,0,0,0,
,,Yersinia phage phiYeO3-12,Yersinia enterocolitica (type O:3),neg,NC_001271,NP_052108.1,TT_Fam1,TT_Fam1,0.0021,25.7,283,431,0,1,1,
,,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056686.1,Phage_tail_2,Phage_tail_2,2.00E-23,91.4,7,140,1,0,1,
,,Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056686.1,TIGR02126,TIGR02126,9.10E-38,137.7,5,136,0,1,1,
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058451.1,Phage_tail,Phage_tail,0.004,24.8,66,210,1,0,1,
,,Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058451.1,TIGR01603,TIGR01603,0,221.4,26,214,0,0,0,
,,Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061512.1,TT_Fam2,TT_Fam2,0,297.1,1,173,0,1,1,
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061638.1,Phage_tail,Phage_tail,0.84,17.2,65,132,1,0,1,
,,Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061638.1,TIGR01603,TIGR01603,4.10E-32,119.7,26,133,0,0,0,
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075284.1,TT_Fam16,TT_Fam16,0.0039,25.5,5,130,0,1,1,
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075286.1,TT_Fam6,TT_Fam6,0.0028,25.9,1,177,1,0,1,
,,Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075286.1,TT_Fam8,TT_Fam8,0,232.4,1,191,0,1,1,
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075509.1,Phage_tail,Phage_tail,0,53,27,202,1,0,1,
,,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075509.1,TIGR01603,TIGR01603,2.60E-18,74.7,7,199,0,0,0,
,,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076622.1,TIGR01603,TIGR01603,1.60E-30,114.5,8,190,0,1,1,
,,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076684.1,Phage_tail,Phage_tail,0,255.7,1,197,1,0,1,
,,Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076684.1,TIGR01603,TIGR01603,0.000076,30.8,1,192,0,1,1,
,,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076743.1,Phage_tail,Phage_tail,0,260.3,1,199,1,0,1,
,,Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076743.1,TIGR01603,TIGR01603,0.00093,27.2,1,193,0,0,0,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_104409.1,L_lac_phage_MSP,L_lac_phage_MSP,0.1,20.2,207,313,0,0,0,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107034.1,Phage_T4_gp19,Phage_T4_gp19,3.90E-37,135.3,9,146,0,0,0,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107037.1,Phage_T4_gp19,Phage_T4_gp19,5.20E-35,128.4,8,138,0,1,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108609.1,TT_Fam9,TT_Fam9,2.40E-24,94.4,173,313,1,1,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108609.1,TT_Fam5,TT_Fam5,4.40E-17,70.8,37,185,1,0,1,
,,Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_108609.1,TT_Fam5,TT_Fam5,4.40E-17,70.8,197,311,0,1,1,
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108722.1,Phage_tail_2,Phage_tail_2,1.20E-26,101.8,6,142,1,0,1,
,,Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108722.1,TIGR02126,TIGR02126,2.10E-42,152.7,4,138,0,0,0,
,,Mycoplasma pneumoniae M129,0,0,NC_000912,NP_109838.1,Phage_tail,Phage_tail,7.3,14.2,44,136,0,1,1,
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112705.1,Phage_tail_2,Phage_tail_2,9.00E-23,89.3,6,146,1,0,1,
,,Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112705.1,TIGR02126,TIGR02126,1.60E-42,153,4,142,0,1,1,
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116504.1,Phage_tail,Phage_tail,0,251.2,1,197,1,0,1,
,,Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116504.1,TIGR01603,TIGR01603,0.00062,27.8,1,192,0,0,0,
,,Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150172.1,TT_Fam7,TT_Fam7,0,176.6,1,148,0,0,0,
,,Helicobacter pylori 26695,0,0,NC_000915,NP_206924.1,TIGR02126,TIGR02126,6.1,15.2,69,116,0,0,0,
,,Helicobacter pylori J99,0,0,NC_000921,NP_222835.1,TIGR02126,TIGR02126,6,15.2,69,116,0,1,1,
,,Bacillus halodurans C-125,0,0,NC_002570,NP_241823.1,Phage_tail_2,Phage_tail_2,1.30E-21,85.5,4,133,1,0,1,
,,Bacillus halodurans C-125,0,0,NC_002570,NP_241823.1,TIGR02126,TIGR02126,3.00E-39,142.5,2,129,0,1,1,
,,Bacillus halodurans C-125,0,0,NC_002570,NP_244388.1,Phage_tail_2,Phage_tail_2,1.30E-31,117.9,18,150,1,0,1,
,,Bacillus halodurans C-125,0,0,NC_002570,NP_244388.1,TIGR02126,TIGR02126,4.70E-34,125.7,16,146,0,0,0,
,,Pasteurella multocida subsp. multocida str. Pm70,0,0,NC_002663,NP_245936.1,L_lac_phage_MSP,L_lac_phage_MSP,2.1,15.9,232,362,0,0,0,
,,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249314.1,Phage_tube,Phage_tube,0,234.5,1,167,0,0,0,
,,Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249324.1,TT_Fam2,TT_Fam2,0,181.9,1,164,0,1,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266633.1,Phage_tail,Phage_tail,0,260.3,1,199,1,0,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_266633.1,TIGR01603,TIGR01603,0.00093,27.2,1,193,0,0,0,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267202.1,TIGR01603,TIGR01603,1.60E-30,114.5,8,190,0,1,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267481.1,L_lac_phage_MSP,L_lac_phage_MSP,6.20E-24,93.2,42,144,1,1,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267481.1,L_lac_phage_MSP,L_lac_phage_MSP,6.20E-24,93.2,328,422,1,0,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267481.1,L_lac_phage_MSP,L_lac_phage_MSP,6.20E-24,93.2,507,599,0,1,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267546.1,Phage_tail,Phage_tail,0,255.7,1,197,1,0,1,
,,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267546.1,TIGR01603,TIGR01603,0.000076,30.8,1,192,0,0,0,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268930.1,TT_Fam7,TT_Fam7,9.60E-41,147.6,1,131,0,1,1,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269173.1,Phage_tail_2,Phage_tail_2,2.00E-21,84.9,7,165,1,0,1,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269173.1,TIGR02126,TIGR02126,3.80E-23,90.3,5,161,0,1,1,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269534.1,TT_Fam6,TT_Fam6,4.20E-23,90.6,1,176,1,0,1,
,,Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269534.1,TT_Fam8,TT_Fam8,0.00012,30,1,151,0,0,0,
,,Neisseria meningitidis MC58,0,0,NC_003112,NP_274136.1,TT_Fam17,TT_Fam17,0,204.4,1,125,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286520.1,Phage_tail_2,Phage_tail_2,0.05,22.1,15,152,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286520.1,CF-HK97,CF-HK97,0.049,21.5,12,156,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286520.1,TT_Fam2,TT_Fam2,0.006,24.8,9,120,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286520.1,TT_Fam2,TT_Fam2,0.006,24.8,118,159,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286520.1,TT_Fam1,TT_Fam1,0,324.7,3,248,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286892.1,Phage_tail_2,Phage_tail_2,0.019,23.5,56,163,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286892.1,TT_Fam2,TT_Fam2,0.000000018,42.8,25,169,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286892.1,TT_Fam4,TT_Fam4,0.00013,30.1,32,166,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287299.1,Phage_tail_2,Phage_tail_2,0.16,20.5,59,165,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287299.1,TT_Fam2,TT_Fam2,0.00000032,38.8,28,131,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287299.1,TT_Fam2,TT_Fam2,0.00000032,38.8,105,171,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287299.1,TT_Fam4,TT_Fam4,0.00045,28.3,34,165,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287378.1,Phage_tail_2,Phage_tail_2,8.1,15,55,175,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287378.1,Phage_tail_2,Phage_tail_2,8.1,15,159,256,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287378.1,CF-HK97,CF-HK97,0.0089,23.9,20,164,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287378.1,CF-HK97,CF-HK97,0.0089,23.9,200,254,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287378.1,TT_Fam1,TT_Fam1,0,351,11,256,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287387.1,Phage_tail_2,Phage_tail_2,0.017,23.7,61,166,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287387.1,CF-HK97,CF-HK97,4,15.3,39,169,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287387.1,TT_Fam2,TT_Fam2,0.000000016,43,28,172,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287387.1,TT_Fam4,TT_Fam4,0.00009,30.6,35,169,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287591.1,CF-HK97,CF-HK97,0.0063,24.4,10,113,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287591.1,CF-HK97,CF-HK97,0.0063,24.4,156,203,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287591.1,TT_Fam1,TT_Fam1,0,265.5,1,205,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287790.1,CF-HK97,CF-HK97,0.0016,26.3,4,124,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287790.1,CF-HK97,CF-HK97,0.0016,26.3,166,214,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287790.1,TT_Fam1,TT_Fam1,0,286.3,1,216,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287974.1,Phage_tail_2,Phage_tail_2,0.19,20.2,59,165,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287974.1,TT_Fam2,TT_Fam2,0.00000032,38.7,28,131,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287974.1,TT_Fam2,TT_Fam2,0.00000032,38.7,105,171,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287974.1,TT_Fam4,TT_Fam4,0.00045,28.3,34,165,0,0,0,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288368.1,Phage_tube,Phage_tube,0,196.4,2,169,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288449.1,CF-HK97,CF-HK97,0.002,26,8,154,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288449.1,CF-HK97,CF-HK97,0.002,26,202,245,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288449.1,TT_Fam1,TT_Fam1,0,342.4,1,246,0,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288654.1,Phage_tail_2,Phage_tail_2,0.027,23,79,185,1,1,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288654.1,TT_Fam2,TT_Fam2,0.000000027,42.2,47,191,1,0,1,
,,Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288654.1,TT_Fam4,TT_Fam4,0.000098,30.5,54,188,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_297808.1,TT_Fam3,TT_Fam3,3.80E-18,74.4,3,230,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298018.1,Phage_tube,Phage_tube,0,204.3,2,169,0,1,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298873.1,DUF3277,DUF3277,0.00023,29.1,7,141,1,1,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298873.1,TT_Fam13,TT_Fam13,3.40E-19,76.9,1,142,1,0,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298873.1,TT_Fam10,TT_Fam10,0.0016,26.7,1,115,0,1,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298978.1,DUF3277,DUF3277,0.00023,29.1,7,141,1,1,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298978.1,TT_Fam13,TT_Fam13,3.40E-19,76.9,1,142,1,0,1,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298978.1,TT_Fam10,TT_Fam10,0.0016,26.7,1,115,0,0,0,
,,Xylella fastidiosa 9a5c,0,0,NC_002488,NP_299762.1,Phage_tube,Phage_tube,0,204.3,2,169,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308861.1,Phage_tail_2,Phage_tail_2,0.049,22.1,13,150,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308861.1,CF-HK97,CF-HK97,0.041,21.8,12,154,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308861.1,TT_Fam2,TT_Fam2,0.0058,24.9,7,118,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308861.1,TT_Fam2,TT_Fam2,0.0058,24.9,116,157,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308861.1,TT_Fam1,TT_Fam1,0,324.7,1,246,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309138.1,CF-HK97,CF-HK97,0.0054,24.6,3,105,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309138.1,CF-HK97,CF-HK97,0.0054,24.6,148,195,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309138.1,TT_Fam1,TT_Fam1,0,248.8,1,197,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309576.1,Phage_tail_2,Phage_tail_2,0.014,23.9,35,142,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309576.1,CF-HK97,CF-HK97,2.5,16,16,145,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309576.1,TT_Fam2,TT_Fam2,0.000000014,43.2,5,110,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309576.1,TT_Fam2,TT_Fam2,0.000000014,43.2,106,148,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309576.1,TT_Fam4,TT_Fam4,0.000065,31.1,11,145,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309667.1,Phage_tail_2,Phage_tail_2,6.2,15.3,47,165,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309667.1,Phage_tail_2,Phage_tail_2,6.2,15.3,150,246,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309667.1,CF-HK97,CF-HK97,0.0083,24,10,154,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309667.1,CF-HK97,CF-HK97,0.0083,24,191,244,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309667.1,TT_Fam1,TT_Fam1,0,351.3,1,246,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309827.1,Phage_tail_2,Phage_tail_2,0.17,20.4,79,185,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309827.1,TT_Fam2,TT_Fam2,0.000000045,41.5,47,151,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309827.1,TT_Fam2,TT_Fam2,0.000000045,41.5,146,191,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309827.1,TT_Fam4,TT_Fam4,0.00046,28.3,54,185,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310007.1,Phage_tail_2,Phage_tail_2,0.012,24.1,36,142,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310007.1,TT_Fam2,TT_Fam2,0.000000012,43.4,5,148,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310007.1,TT_Fam4,TT_Fam4,0.000072,30.9,11,145,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310196.1,CF-HK97,CF-HK97,0.002,26,8,154,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310196.1,CF-HK97,CF-HK97,0.002,26,202,245,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310196.1,TT_Fam1,TT_Fam1,0,342.4,1,246,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310270.1,Phage_tail_2,Phage_tail_2,0.13,20.8,36,142,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310270.1,TT_Fam2,TT_Fam2,0.00000018,39.5,5,108,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310270.1,TT_Fam2,TT_Fam2,0.00000018,39.5,84,148,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310270.1,TT_Fam4,TT_Fam4,0.00036,28.6,11,143,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310671.1,Phage_tube,Phage_tube,0,196.4,2,169,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310756.2,CF-HK97,CF-HK97,0.0016,26.3,4,124,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310756.2,CF-HK97,CF-HK97,0.0016,26.3,166,214,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310756.2,TT_Fam1,TT_Fam1,0,286.3,1,216,0,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310979.1,CF-HK97,CF-HK97,0.002,26,8,154,1,1,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310979.1,CF-HK97,CF-HK97,0.002,26,202,245,1,0,1,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310979.1,TT_Fam1,TT_Fam1,0,342.4,1,246,0,0,0,
,,Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_313007.1,Tail_tube,Tail_tube,6.10E-36,131.2,1,120,0,0,0,
,,Mycoplasma pulmonis UAB CTIP,0,0,NC_002771,NP_326133.1,TT_Fam19,TT_Fam19,6.8,14.4,20,121,0,1,1,
,,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346703.1,TT_Fam15,TT_Fam15,0,206.7,8,190,1,0,1,
,,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_346703.1,TT_Fam15,TT_Fam15,0,206.7,205,272,0,0,0,
,,Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_347190.1,TT_Fam1,TT_Fam1,1.1,16.8,5,99,0,0,0,
