Species,Host,GC,Gstain,Prot RefSeq,Hmm ID,Name,E value,Score,Start,Stop,Duplicate,DD,
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056688.1,TH_Fam2,TH_Fam2,0.00012,30,14,97,0,0,0
Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075287.1,TH_Fam5,TH_Fam5,1.60E-33,124.1,151,266,0,1,1
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107036.1,Phage_P2_GpE,Phage_P2_GpE,0.022,22.6,13,47,1,1,1
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107036.1,TH_Fam1,TH_Fam1,7.70E-16,65.8,7,45,1,0,1
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_107036.1,U_TH_T4,U_TH_T4,2.9,15.8,4,48,0,0,0
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108708.1,U_RealTestIII,U_RealTestIII,2.80E-18,74.6,2,64,0,0,0
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108709.1,U_RealTestIII,U_RealTestIII,0,584.3,1,401,0,0,0
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108724.1,TH_Fam2,TH_Fam2,0,177.3,20,106,0,0,0
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112694.1,U_RealTestIII,U_RealTestIII,0,670.4,1,459,0,0,0
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112707.1,TH_Fam2,TH_Fam2,0,177.3,20,106,0,0,0
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150174.1,Phage_Gp15,Phage_Gp15,0,217.4,4,181,0,0,0
Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215794.1,TH_Fam5,TH_Fam5,7.6,15.3,508,638,0,0,0
Bacillus halodurans C-125,0,0,NC_002570,NP_243197.1,Phage_tail_T,Phage_tail_T,9.2,15.1,169,256,0,0,0
Bacillus halodurans C-125,0,0,NC_002570,NP_244400.1,U_RealTestIII,U_RealTestIII,0,801.7,1,464,0,0,0
Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267204.1,TH-BCereus,TH-BCereus,0.00073,27.9,1,58,0,0,0
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_268932.1,Phage_Gp15,Phage_Gp15,0,235.6,2,183,0,0,0
Streptococcus pyogenes M1 GAS,0,0,NC_002737,NP_269175.1,TH_Fam2,TH_Fam2,8.20E-13,56.2,21,109,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286522.1,Phage_tail_T,Phage_tail_T,0,183,2,104,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286522.1,TIGR01715,TIGR01715,4.20E-35,128.5,1,102,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286894.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287301.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287380.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287380.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287380.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287380.1,TIGR01715,TIGR01715,0,189.1,113,144,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287389.1,DUF4035,DUF4035,2.00E-21,83.4,27,79,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287593.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,1,102,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287593.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,101,137,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287593.1,TIGR01715,TIGR01715,0,193.3,1,100,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287593.1,TIGR01715,TIGR01715,0,193.3,103,137,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287788.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,1,102,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287788.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,101,137,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287788.1,TIGR01715,TIGR01715,0,193.3,1,100,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287788.1,TIGR01715,TIGR01715,0,193.3,103,137,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287972.1,DUF4035,DUF4035,2.00E-21,83.4,27,79,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288366.1,Phage_P2_GpE,Phage_P2_GpE,3.80E-17,69.8,10,49,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288366.1,TH_Fam1,TH_Fam1,1.9,16.6,4,41,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288447.1,Phage_tail_T,Phage_tail_T,9.00E-33,121.2,1,101,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288447.1,TIGR01715,TIGR01715,5.10E-43,154,1,100,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288652.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,0,0
Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298858.1,U_RealTestIII,U_RealTestIII,3.8,14.8,16,230,0,0,0
Xylella fastidiosa 9a5c,0,0,NC_002488,NP_298963.1,U_RealTestIII,U_RealTestIII,3.8,14.8,16,230,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308863.1,Phage_tail_T,Phage_tail_T,0,182.8,6,108,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308863.1,TIGR01715,TIGR01715,3.30E-37,135.3,1,106,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309140.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,1,94,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309140.1,Phage_tail_T,Phage_tail_T,1.70E-33,123.5,93,129,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309140.1,TIGR01715,TIGR01715,0,171.3,1,92,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309140.1,TIGR01715,TIGR01715,0,171.3,95,129,0,0,0
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309578.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309669.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309669.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309669.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309669.1,TIGR01715,TIGR01715,0,189.1,113,144,0,0,0
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_309829.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,0,0
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310009.1,DUF4035,DUF4035,3.50E-21,82.7,27,79,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310194.1,Phage_tail_T,Phage_tail_T,8.20E-39,140.5,1,102,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310194.1,Phage_tail_T,Phage_tail_T,8.20E-39,140.5,104,137,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310194.1,TIGR01715,TIGR01715,0,180.6,1,100,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310194.1,TIGR01715,TIGR01715,0,180.6,103,137,0,0,0
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310268.1,DUF4035,DUF4035,2.00E-21,83.4,27,79,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310669.1,Phage_P2_GpE,Phage_P2_GpE,9.20E-17,68.6,37,76,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310669.1,TH_Fam1,TH_Fam1,4.1,15.5,31,68,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310754.1,Phage_tail_T,Phage_tail_T,8.20E-18,73.1,1,67,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310754.1,Phage_tail_T,Phage_tail_T,8.20E-18,73.1,66,101,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310754.1,TIGR01715,TIGR01715,2.00E-29,110.2,1,64,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310754.1,TIGR01715,TIGR01715,2.00E-29,110.2,66,101,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310977.1,Phage_tail_T,Phage_tail_T,9.00E-33,121.2,1,101,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_310977.1,TIGR01715,TIGR01715,5.10E-43,154,1,100,0,0,0
Mycobacterium tuberculosis CDC1551,0,0,NC_002755,NP_335762.1,TH_Fam5,TH_Fam5,7.6,15.3,508,638,0,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348449.1,TH_Fam6,TH_Fam6,2.8,16.6,32,72,1,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348449.1,TH_Fam6,TH_Fam6,2.8,16.6,283,350,1,0,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348449.1,TH_Fam6,TH_Fam6,2.8,16.6,645,720,0,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348879.1,U_TH_T4,U_TH_T4,5.1,15.1,275,295,1,1,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348879.1,U_TH_T4,U_TH_T4,5.1,15.1,990,1024,1,0,1
Clostridium acetobutylicum ATCC 824,0,0,NC_003030,NP_348879.1,U_TH_T4,U_TH_T4,5.1,15.1,1059,1094,0,0,0
Streptococcus pneumoniae R6,0,0,NC_003098,NP_359308.1,TH_Fam2,TH_Fam2,8.2,14.5,62,114,0,0,0
Rickettsia conorii str. Malish 7,0,0,NC_003103,NP_360125.1,U_RealTestIII,U_RealTestIII,0.0066,23.9,9,179,0,0,0
Rickettsia conorii str. Malish 7,0,0,NC_003103,NP_360126.1,U_RealTestIII,U_RealTestIII,0.018,22.5,11,95,0,0,0
Rickettsia conorii str. Malish 7,0,0,NC_003103,NP_360752.1,TH_Fam2,TH_Fam2,1.5,16.9,8,59,0,0,0
Temperate phage phiNIH1.1,Streptococcus pyogenes,pos,NC_003157,NP_438153.1,Phage_Gp15,Phage_Gp15,0,235.4,2,183,0,1,1
Synechocystis sp. PCC 6803,0,0,NC_000911,NP_440980.1,Phage_Gp15,Phage_Gp15,7.6,14.5,157,224,1,0,1
Synechocystis sp. PCC 6803,0,0,NC_000911,NP_440980.1,Phage_Gp15,Phage_Gp15,7.6,14.5,283,318,0,1,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_459894.1,Phage_tail_T,Phage_tail_T,0,178,3,104,1,0,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_459894.1,TIGR01715,TIGR01715,1.90E-38,139.2,1,102,0,1,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460015.1,Phage_tail_T,Phage_tail_T,1.70E-35,129.9,10,109,1,0,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_460015.1,TIGR01715,TIGR01715,0,171.7,4,109,0,1,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461531.1,Phage_tail_T,Phage_tail_T,0,179.1,10,111,1,0,1
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461531.1,TIGR01715,TIGR01715,0,172.2,4,109,0,0,0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,0,0,NC_003197,NP_461626.1,Phage_P2_GpE,Phage_P2_GpE,8.30E-20,78.3,1,39,0,0,0
Listeria phage A118,Listeria monocytogenes,pos,NC_003216,NP_463476.1,Phage_Gp15,Phage_Gp15,0,248.3,3,199,0,0,0
Pseudomonas phage phiCTX,Pseudomonas aeruginosa,neg,NC_003278,NP_490624.1,Phage_P2_GpE,Phage_P2_GpE,5.90E-19,75.6,1,39,0,0,0
Staphylococcus phage phiETA,Staphylococcus aureus,pos,NC_003288,NP_510946.1,TH_Fam6,TH_Fam6,0,192.8,15,113,0,0,0
Listeria phage 2389,Listeria monocytogenes,pos,NC_003291,NP_510992.1,TH_Fam12,TH_Fam12,3.50E-11,51.5,1,117,0,0,0
Ralstonia solanacearum GMI1000,0,0,NC_003295,NP_520036.1,Phage_P2_GpE,Phage_P2_GpE,8.80E-10,46.2,1,33,0,0,0
Burkholderia phage phiE125,Burkholderia thailandensis,neg,NC_003309,NP_536370.1,DUF4035,DUF4035,2.20E-20,80.1,27,84,0,0,0
Mycobacterium phage TM4,Mycobacterium avium,myc,NC_003387,NP_569752.1,TH_Fam5,TH_Fam5,0.00038,29.2,29,128,0,0,0
Fusobacterium nucleatum subsp. nucleatum ATCC 25586,0,0,NC_003454,NP_603642.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,8.1,14.5,129,168,0,0,0
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607366.1,TH_Fam2,TH_Fam2,3.40E-13,57.4,21,109,0,0,0
Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_607788.1,Phage_Gp15,Phage_Gp15,0,230.1,2,183,0,0,0
Xanthomonas campestris pv. campestris str. ATCC 33913,0,0,NC_003902,NP_638339.1,Phage_P2_GpE,Phage_P2_GpE,5.90E-20,78.8,1,37,0,0,0
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663671.1,U_RealTestIII,U_RealTestIII,0,667.5,1,459,0,0,0
Lactococcus phage ul36,Lactococcus lactis,pos,NC_004066,NP_663683.1,TH_Fam2,TH_Fam2,0,179.8,1,89,0,0,0
Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_665022.1,Phage_Gp15,Phage_Gp15,0,235.4,2,183,0,0,0
Oceanobacillus iheyensis HTE831,0,0,NC_004193,NP_691133.1,TH_Fam2,TH_Fam2,0.00000022,38.8,1,89,0,0,0
Streptococcus phage O1205,Streptococcus thermophilus,pos,NC_004303,NP_695117.1,TH_Fam2,TH_Fam2,0.00013,29.9,14,99,0,0,0
Lactobacillus phage phig1e,Lactobacillus,pos,NC_004305,NP_695159.1,Phage_Gp15,Phage_Gp15,0,215.5,3,180,0,0,0
Burkholderia phage Bcep781,Burkholderia cepacia,neg,NC_004333,NP_705644.1,U_RealTestIII,U_RealTestIII,6.70E-15,63.4,31,420,0,0,0
Streptococcus mutans UA159,0,0,NC_004350,NP_722398.1,TH_Fam6,TH_Fam6,6.3,15.5,50,134,0,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753368.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,1,102,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753368.1,Phage_tail_T,Phage_tail_T,1.40E-39,143,101,137,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753368.1,TIGR01715,TIGR01715,0,193.3,1,100,1,0,1
Escherichia coli CFT073,0,0,NC_004431,NP_753368.1,TIGR01715,TIGR01715,0,193.3,103,137,0,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753492.1,Phage_tail_T,Phage_tail_T,0,185.3,11,113,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753492.1,Phage_tail_T,Phage_tail_T,0,185.3,116,144,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_753492.1,TIGR01715,TIGR01715,0,185.8,5,111,1,0,1
Escherichia coli CFT073,0,0,NC_004431,NP_753492.1,TIGR01715,TIGR01715,0,185.8,113,144,0,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_755043.1,Phage_tail_T,Phage_tail_T,0,187.4,11,113,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_755043.1,Phage_tail_T,Phage_tail_T,0,187.4,116,144,1,1,1
Escherichia coli CFT073,0,0,NC_004431,NP_755043.1,TIGR01715,TIGR01715,0,185.5,5,111,1,0,1
Escherichia coli CFT073,0,0,NC_004431,NP_755043.1,TIGR01715,TIGR01715,0,185.5,113,144,0,0,0
Staphylococcus epidermidis ATCC 12228,0,0,NC_004461,NP_765522.1,TH_Fam6,TH_Fam6,9.5,14.9,48,128,0,0,0
Pseudomonas syringae pv. tomato str. DC3000,0,0,NC_004578,NP_791907.1,TH-EcoilSE11,TH-EcoilSE11,0.00000016,39.2,17,79,0,0,0
Pseudomonas syringae pv. tomato str. DC3000,0,0,NC_004578,NP_793810.1,TH-EcoilSE11,TH-EcoilSE11,0.0000001,39.9,17,79,0,0,0
Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_801905.1,Phage_Gp15,Phage_Gp15,0,235.4,2,183,0,0,0
Staphylococcus phage 11,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004615,NP_803294.1,TH_Fam2,TH_Fam2,3.5,15.7,15,95,0,0,0
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,0,0,NC_004631,NP_806374.1,Phage_P2_GpE,Phage_P2_GpE,1.70E-20,80.5,1,39,0,0,0
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,0,0,NC_004631,NP_807103.1,Phage_P2_GpE,Phage_P2_GpE,1.70E-20,80.5,1,39,0,0,0
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,0,0,NC_004631,NP_807895.1,Phage_P2_GpE,Phage_P2_GpE,4.50E-20,79.2,1,39,0,0,0
Enterococcus faecalis V583,0,0,NC_004668,NP_815010.1,TH_Fam2,TH_Fam2,2.90E-11,51.3,24,109,0,0,0
Enterococcus faecalis V583,0,0,NC_004668,NP_815176.1,U_RealTestIII,U_RealTestIII,2.70E-31,117.5,1,474,0,0,0
Enterococcus faecalis V583,0,0,NC_004668,NP_815686.1,U_RealTestIII,U_RealTestIII,0,701.4,1,462,0,0,0
Mycobacterium phage Che8,Mycobacterium,myc,NC_004680,NP_817351.1,TH_Fam5,TH_Fam5,0,188.8,16,167,0,0,0
Mycobacterium phage Bxz2,Mycobacterium,myc,NC_004682,NP_817614.1,TH_Fam5,TH_Fam5,2.70E-17,71.7,42,148,0,0,0
Mycobacterium phage Che9c,Mycobacterium,myc,NC_004683,NP_817691.1,TH_Fam5,TH_Fam5,0.0000084,34.6,1,60,0,0,0
Mycobacterium phage Rosebush,Mycobacterium,myc,NC_004684,NP_817768.1,U_RealTestIII,U_RealTestIII,9.10E-21,82.8,78,442,0,0,0
Mycobacterium phage Corndog,Mycobacterium,myc,NC_004685,NP_817906.1,TH_Fam5,TH_Fam5,0.00000032,39.1,1,122,0,0,0
Streptomyces avermitilis MA-4680,0,0,NC_003155,NP_821557.1,TH_Fam1,TH_Fam1,3.00E-13,57.5,200,237,0,0,0
Bacillus cereus ATCC 14579,0,0,NC_004722,NP_831677.1,TH_Fam2,TH_Fam2,1,17.5,6,93,0,0,0
Bacillus cereus ATCC 14579,0,0,NC_004722,NP_832305.1,TH-BGamma,TH-BGamma,5.9,15.4,44,108,0,1,1
Shigella flexneri 2a str. 2457T,0,0,NC_004741,NP_836418.1,Phage_tail_T,Phage_tail_T,1.50E-41,149.3,1,90,1,0,1
Shigella flexneri 2a str. 2457T,0,0,NC_004741,NP_836418.1,TIGR01715,TIGR01715,7.80E-25,95.4,1,88,0,0,0
Yersinia phage L-413C,Yersinia pestis,neg,NC_004745,NP_839872.1,Phage_P2_GpE,Phage_P2_GpE,9.90E-20,78.1,104,142,0,0,0
Bacillus anthracis str. Ames,0,0,NC_003997,NP_846032.1,TH-BCereus,TH-BCereus,0.34,19.3,1,53,0,0,0
Haemophilus phage Aaphi23,Actinobacillus actinomycetemcomitans,neg,NC_004827,NP_852753.1,U_RealTestIII,U_RealTestIII,6.10E-37,136.1,9,485,0,0,0
Xanthomonas phage Xp10,Xanthomonas oryzae,neg,NC_004902,NP_858963.1,DUF1799,DUF1799,3.50E-27,102.4,14,98,0,0,0
Enterobacteria phage RB69,Escherichia coli,neg,NC_004928,NP_861747.1,U_TH_T4,U_TH_T4,9.7,14.1,24,64,0,1,1
Enterobacteria phage RB69,Escherichia coli,neg,NC_004928,NP_861893.1,TH_Fam1,TH_Fam1,2.4,16.2,211,248,1,1,1
Enterobacteria phage RB69,Escherichia coli,neg,NC_004928,NP_861893.1,U_TH_T4,U_TH_T4,1.70E-13,58.2,201,251,1,0,1
Enterobacteria phage RB69,Escherichia coli,neg,NC_004928,NP_861893.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.0013,26.7,200,251,0,1,1
Enterobacteria phage RB49,Escherichia coli,neg,NC_005066,NP_891747.1,TH_Fam1,TH_Fam1,6,14.9,207,244,1,1,1
Enterobacteria phage RB49,Escherichia coli,neg,NC_005066,NP_891747.1,U_TH_T4,U_TH_T4,1.60E-16,67.9,197,252,1,0,1
Enterobacteria phage RB49,Escherichia coli,neg,NC_005066,NP_891747.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.00005,31.2,196,254,0,1,1
Vibrio phage KVP40,Vibrio parahaemolyticus,neg,NC_005083,NP_899574.1,U_TH_T4,U_TH_T4,5.00E-16,66.3,1,54,1,0,1
Vibrio phage KVP40,Vibrio parahaemolyticus,neg,NC_005083,NP_899574.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,8.10E-20,78.6,1,55,0,0,0
Gloeobacter violaceus PCC 7421,0,0,NC_005125,NP_927052.1,TH_Fam1,TH_Fam1,0.05,21.6,1,18,0,1,1
Aeromonas phage 44RR2.8t,Aeromonas salmonicida,neg,NC_005135,NP_932535.1,TH_Fam1,TH_Fam1,1.2,17.2,208,243,1,1,1
Aeromonas phage 44RR2.8t,Aeromonas salmonicida,neg,NC_005135,NP_932535.1,U_TH_T4,U_TH_T4,8.50E-16,65.6,196,248,1,1,1
Aeromonas phage 44RR2.8t,Aeromonas salmonicida,neg,NC_005135,NP_932535.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.00011,30.1,50,74,1,0,1
Aeromonas phage 44RR2.8t,Aeromonas salmonicida,neg,NC_005135,NP_932535.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.00011,30.1,195,248,0,0,0
Mycobacterium phage PG1,Mycobacterium,myc,NC_005259,NP_943780.1,U_RealTestIII,U_RealTestIII,1.80E-18,75.2,85,468,0,0,0
Burkholderia phage Bcep1,Burkholderia cenocepacia,neg,NC_005263,NP_944327.1,U_RealTestIII,U_RealTestIII,5.40E-15,63.8,31,420,0,0,0
Burkholderia phage phi1026b,Burkholderia pseudomallei,neg,NC_005284,NP_945043.1,DUF4035,DUF4035,3.30E-20,79.6,27,84,0,1,1
Geobacter sulfurreducens PCA,0,0,NC_002939,NP_952032.2,Phage_P2_GpE,Phage_P2_GpE,2.2,16.1,13,52,1,0,1
Geobacter sulfurreducens PCA,0,0,NC_002939,NP_952032.2,TH_Fam1,TH_Fam1,2.90E-16,67.1,7,45,0,0,0
Enterobacteria phage PsP3,Salmonella,neg,NC_005340,NP_958078.1,Phage_P2_GpE,Phage_P2_GpE,3.40E-20,79.6,124,162,0,0,0
Burkholderia phage Bcep43,Burkholderia cepacia,neg,NC_005342,NP_958123.1,U_RealTestIII,U_RealTestIII,1.90E-14,62,30,420,0,0,0
Lactobacillus prophage Lj965,Lactobacillus johnsonii,pos,NC_005355,NP_958592.1,TH_Fam11,TH_Fam11,0,163.8,7,96,0,0,0
Lactobacillus johnsonii NCC 533,0,0,NC_005362,NP_964341.1,TH_Fam11,TH_Fam11,0,163.8,7,96,0,1,1
Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster,0,NC_002978,NP_966291.1,TH_Fam1,TH_Fam1,8.7,14.4,206,227,1,1,1
Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster,0,NC_002978,NP_966291.1,TH_Fam1,TH_Fam1,8.7,14.4,229,243,1,0,1
Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster,0,NC_002978,NP_966291.1,TH_Fam1,TH_Fam1,8.7,14.4,287,308,0,1,1
Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster,0,NC_002978,NP_966742.1,U_RealTestIII,U_RealTestIII,2.70E-19,77.9,3,223,1,0,1
Wolbachia endosymbiont of Drosophila melanogaster,Drosophila melanogaster,0,NC_002978,NP_966742.1,U_RealTestIII,U_RealTestIII,2.70E-19,77.9,263,408,0,1,1
Treponema denticola ATCC 35405,0,0,NC_002967,NP_972858.1,TH-EcoilSE11,TH-EcoilSE11,0.0018,26.3,105,127,1,1,1
Treponema denticola ATCC 35405,0,0,NC_002967,NP_972858.1,TH-EcoilSE11,TH-EcoilSE11,0.0018,26.3,124,150,1,1,1
